Date,Game,Pick,Odds,Grade,EV%,Outcome,Units Risked,Profit,Status
2025-11-26,"Alabama State @ New Mexico",New Mexico,-2500,A,-4.20,WIN,4,0.16,PROFITABLE_GRADE
2025-11-26,"Appalachian State @ Mercer",Mercer,-295,A+,-27.70,WIN,5,1.69,LOSING_GRADE
2025-11-26,"Baylor @ San Diego State",Baylor,-125,A+,6.20,WIN,5,4.00,LOSING_GRADE
2025-11-26,"Belmont @ Toledo",Belmont,-195,B,-1.80,WIN,1.5,0.77,PROFITABLE_GRADE
2025-11-26,"Bowling Green @ Virginia Military",Bowling Green,-650,A+,-10.00,WIN,5,0.77,LOSING_GRADE
2025-11-26,"Brown @ New Hampshire",Brown,-205,A,3.60,WIN,4,1.95,PROFITABLE_GRADE
2025-11-26,"Buffalo @ Bucknell",Buffalo,-176,A+,-15.00,WIN,5,2.84,LOSING_GRADE
2025-11-26,"Colorado State @ Virginia Tech",Colorado State,200,A+,25.00,LOSS,5,-5.00,LOSING_GRADE
2025-11-26,"Columbia @ Fairfield",Columbia,-145,A+,-5.20,WIN,5,3.45,LOSING_GRADE
2025-11-26,"Denver @ Wyoming",Wyoming,-370,A,-4.80,WIN,4,1.08,PROFITABLE_GRADE
2025-11-26,"Eastern Michigan @ Cincinnati",Cincinnati,-10000,A+,-12.10,LOSS,5,-5.00,LOSING_GRADE
2025-11-26,"Fresno State @ Pepperdine",Fresno State,-135,A,-4.50,WIN,4,2.96,PROFITABLE_GRADE
2025-11-26,"Gardner-webb @ Navy",Navy,-650,A+,-16.30,WIN,5,0.77,LOSING_GRADE
2025-11-26,"Georgia State @ New Mexico State",New Mexico State,-900,A+,-11.80,WIN,5,0.56,LOSING_GRADE
2025-11-26,"Gonzaga @ Michigan",Gonzaga,-130,A,-3.70,LOSS,4,-4.00,PROFITABLE_GRADE
2025-11-26,"Grand Canyon @ Iowa",Iowa,-360,A+,-16.60,WIN,5,1.39,LOSING_GRADE
2025-11-26,"Harvard @ Boston College",Boston College,-320,D,-0.60,WIN,0.5,0.16,PROFITABLE_GRADE
2025-11-26,"Indiana State @ Louisiana Tech",Louisiana Tech,-143,A+,-9.60,WIN,5,3.50,LOSING_GRADE
2025-11-26,"Kansas @ Tennessee",Kansas,180,A+,25.00,WIN,5,9.00,LOSING_GRADE
2025-11-26,"Liberty @ Bradley",Liberty,-225,A+,-15.20,LOSS,5,-5.00,LOSING_GRADE
2025-11-26,"Lipscomb @ Marshall",Marshall,-380,A+,-10.00,LOSS,5,-5.00,LOSING_GRADE
2025-11-26,"Long Beach State @ Portland",Portland,-205,B,2.40,WIN,1.5,0.73,PROFITABLE_GRADE
2025-11-26,"Loyola Chicago @ San Jose State",Loyola Chicago,-104,A+,25.00,LOSS,5,-5.00,LOSING_GRADE
2025-11-26,"Massachusetts-lowell @ Stonehill",Stonehill,-145,C,-0.90,LOSS,0.5,-0.50,LOSING_GRADE
2025-11-26,"Nebraska-omaha @ FIU",FIU,-180,A+,-20.00,WIN,5,2.78,LOSING_GRADE
2025-11-26,"New Orleans @ Texas Tech",Texas Tech,-10000,B+,-2.60,WIN,2,0.02,PROFITABLE_GRADE
2025-11-26,"Northern Colorado @ Air Force",Northern Colorado,-170,B+,2.90,WIN,2,1.17,PROFITABLE_GRADE
2025-11-26,"Northern Iowa @ Tulsa",Northern Iowa,-129,A+,23.60,LOSS,5,-5.00,LOSING_GRADE
2025-11-26,"North Dakota State @ Jacksonville State",Jacksonville State,143,A+,25.00,LOSS,5,-5.00,LOSING_GRADE
2025-11-26,"Notre Dame @ Houston",Houston,-625,A+,-15.20,WIN,5,0.80,LOSING_GRADE
2025-11-26,"Rhode Island @ Temple",Temple,148,A+,25.00,LOSS,5,-5.00,LOSING_GRADE
2025-11-26,"Rice @ Oral Roberts",Rice,-225,B+,-3.20,WIN,2,0.89,PROFITABLE_GRADE
2025-11-26,"Samford @ Utah Valley",Utah Valley,-220,A,3.60,WIN,4,1.82,PROFITABLE_GRADE
2025-11-26,"Sam Houston State @ Idaho State",Sam Houston State,-145,B,2.10,WIN,1.5,1.03,PROFITABLE_GRADE
2025-11-26,"Seton Hall @ Washington State",Seton Hall,-500,A+,-23.00,WIN,5,1.00,LOSING_GRADE
2025-11-26,"Southern Illinois @ Memphis",Memphis,-575,A+,-9.90,WIN,5,0.87,LOSING_GRADE
2025-11-26,"Southern Indiana @ Valparaiso",Valparaiso,-480,B,-1.90,LOSS,1.5,-1.50,PROFITABLE_GRADE
2025-11-26,"South Dakota State @ Uc Irvine",Uc Irvine,-150,A+,-7.70,WIN,5,3.33,LOSING_GRADE
2025-11-26,"St. Francis @ Troy",Troy,-10000,A+,-8.40,WIN,5,0.05,LOSING_GRADE
2025-11-26,"St. John's @ Auburn",St. John's,-250,A+,-15.40,LOSS,5,-5.00,LOSING_GRADE
2025-11-26,"Syracuse @ Iowa State",Iowa State,-590,A+,-19.30,WIN,5,0.85,LOSING_GRADE
2025-11-26,"Tennessee Tech @ Kentucky",Kentucky,-10000,A+,-9.70,WIN,5,0.05,LOSING_GRADE
2025-11-26,"Towson @ UC San Diego",UC San Diego,-135,A+,19.70,WIN,5,3.70,LOSING_GRADE
2025-11-26,"UNC Greensboro @ Miami",Miami,-550,A+,-8.50,WIN,5,0.90,LOSING_GRADE
2025-11-26,"USC @ Arizona State",USC,-230,A,-4.10,WIN,4,1.74,PROFITABLE_GRADE
2025-11-26,"Vermont @ Princeton",Vermont,-240,A+,-26.50,WIN,5,2.08,LOSING_GRADE
2025-11-26,"Virginia Commonwealth @ South Florida",Virginia Commonwealth,-110,A+,24.90,WIN,5,4.54,LOSING_GRADE
2025-11-26,"Wagner @ Manhattan",Manhattan,-177,A+,24.10,LOSS,5,-5.00,LOSING_GRADE
2025-11-26,"Western Kentucky @ Vanderbilt",Vanderbilt,-2000,A+,-13.40,LOSS,5,-5.00,LOSING_GRADE
2025-11-26,"Wichita State @ Saint Mary's",Saint Mary's,-600,C,1.10,WIN,0.5,0.08,LOSING_GRADE
2025-11-26,"Wofford @ Northern Kentucky",Northern Kentucky,-175,A+,-11.60,WIN,5,2.86,LOSING_GRADE
2025-11-27,"Arkansas @ Duke",Duke,-500,F,-16.00,WIN,0.5,0.10,LOSING_GRADE
2025-11-27,"BYU @ Miami (FL)",BYU,-400,F,-3.80,WIN,0.5,0.13,LOSING_GRADE
2025-11-27,"Charlotte @ Illinois State",Illinois State,-220,F,-9.30,WIN,0.5,0.23,LOSING_GRADE
2025-11-27,"Colorado @ San Francisco",San Francisco,-120,D,-2.40,WIN,0.5,0.42,PROFITABLE_GRADE
2025-11-27,"Colorado State @ Wichita State",Colorado State,-120,A+,25.00,WIN,5,4.17,LOSING_GRADE
2025-11-27,"Georgetown @ Dayton",Dayton,132,A+,16.30,WIN,5,6.60,LOSING_GRADE
2025-11-27,"Georgetown @ Dayton",Georgetown,-105,D,-1.10,LOSS,0.5,-0.50,PROFITABLE_GRADE
2025-11-27,"Minnesota @ Stanford",Stanford,-125,A+,11.20,LOSS,5,-5.00,LOSING_GRADE
2025-11-27,"Nevada @ Washington",Washington,-210,F,-11.60,WIN,0.5,0.24,LOSING_GRADE
2025-11-27,"North Carolina @ Michigan State",Michigan State,-125,C,-6.90,WIN,0.5,0.40,LOSING_GRADE
2025-11-27,"Oklahoma State @ Northwestern",Northwestern,-140,F,-12.30,LOSS,0.5,-0.50,LOSING_GRADE
2025-11-27,"Oregon @ Creighton",Creighton,115,A+,20.10,WIN,5,5.75,LOSING_GRADE
2025-11-27,"Providence @ Wisconsin",Wisconsin,-250,A+,16.10,WIN,5,2.00,LOSING_GRADE
2025-11-27,"Richmond @ Furman",Richmond,-170,F,-3.00,LOSS,0.5,-0.50,LOSING_GRADE
2025-11-27,"Saint Louis @ Santa Clara",Santa Clara,115,A+,10.80,LOSS,5,-5.00,LOSING_GRADE
2025-11-27,"St. Bonaventure @ East Carolina",St. Bonaventure,-455,F,-13.20,WIN,0.5,0.11,LOSING_GRADE
2025-11-27,"Tcu @ Florida",Florida,-1000,D,-2.10,LOSS,0.5,-0.50,PROFITABLE_GRADE
2025-11-27,"Unlv @ Rutgers",Rutgers,150,A+,25.00,WIN,5,7.50,LOSING_GRADE
2025-11-27,"Vanderbilt @ Virginia Commonwealth",Vanderbilt,-250,F,-16.10,WIN,0.5,0.20,LOSING_GRADE
2025-11-27,"Virginia Tech @ Saint Mary's",Saint Mary's,-180,A+,18.60,WIN,5,2.78,LOSING_GRADE
2025-11-28,"Alabama A&M @ Clemson",Clemson,-30000,D,-2.10,WIN,0.5,0.00,PROFITABLE_GRADE
2025-11-28,"Ball State @ Monmouth",Ball State,148,A+,25.00,LOSS,5,-5.00,LOSING_GRADE
2025-11-28,"BYU @ Dayton",BYU,-500,F,-18.20,WIN,0.5,0.10,LOSING_GRADE
2025-11-28,"Charleston Southern @ South Carolina",South Carolina,-2500,F,-10.30,WIN,0.5,0.02,LOSING_GRADE
2025-11-28,"Chicago State @ Youngstown State",Youngstown State,-1200,F,-8.00,WIN,0.5,0.04,LOSING_GRADE
2025-11-28,"Cleveland State @ Missouri",Missouri,-50000,F,-4.70,WIN,0.5,0.00,LOSING_GRADE
2025-11-28,"Colgate @ Albany",Colgate,-275,B+,0.10,WIN,2,0.73,PROFITABLE_GRADE
2025-11-28,"DePaul @ Georgia Tech",Georgia Tech,105,A+,21.20,LOSS,5,-5.00,LOSING_GRADE
2025-11-28,"Drake @ LSU",LSU,-700,F,-19.00,WIN,0.5,0.14,LOSING_GRADE
2025-11-28,"Furman @ Illinois State",Illinois State,-190,D,-1.10,WIN,0.5,0.26,PROFITABLE_GRADE
2025-11-28,"Hofstra @ La Salle",Hofstra,-140,F,-9.10,WIN,0.5,0.36,LOSING_GRADE
2025-11-28,"Illinois @ Connecticut",Connecticut,-165,F,-9.30,WIN,0.5,0.30,LOSING_GRADE
2025-11-28,"Jackson State @ Louisiana",Louisiana,-245,F,-18.70,LOSS,0.5,-0.50,LOSING_GRADE
2025-11-28,"Le Moyne @ Lafayette",Lafayette,-200,C,2.80,LOSS,0.5,-0.50,LOSING_GRADE
2025-11-28,"Maine @ American University",American University,-290,F,-18.40,WIN,0.5,0.17,LOSING_GRADE
2025-11-28,"Merrimack @ Pennsylvania",Pennsylvania,-156,F,-13.40,WIN,0.5,0.32,LOSING_GRADE
2025-11-28,"Miami (FL) @ Georgetown",Georgetown,198,A+,25.00,LOSS,5,-5.00,LOSING_GRADE
2025-11-28,"Minnesota @ Santa Clara",Santa Clara,-225,B,-6.00,WIN,1.5,0.66,PROFITABLE_GRADE
2025-11-28,"Nevada @ San Francisco",San Francisco,-230,F,-15.80,LOSS,0.5,-0.50,LOSING_GRADE
2025-11-28,"Nicholls State @ Tulane",Tulane,-450,F,-7.40,WIN,0.5,0.11,LOSING_GRADE
2025-11-28,"Northeastern @ Wake Forest",Wake Forest,-2500,F,-2.80,WIN,0.5,0.02,LOSING_GRADE
2025-11-28,"North Carolina A&T @ Davidson",Davidson,-1400,F,-10.30,WIN,0.5,0.04,LOSING_GRADE
2025-11-28,"Ohio State @ Pittsburgh",Ohio State,-220,F,-11.50,LOSS,0.5,-0.50,LOSING_GRADE
2025-11-28,"Oklahoma @ Marquette",Marquette,110,A+,22.80,LOSS,5,-5.00,LOSING_GRADE
2025-11-28,"Providence @ Florida",Florida,-670,B,-0.30,WIN,1.5,0.22,PROFITABLE_GRADE
2025-11-28,"Queens University of Charlotte @ Virginia",Virginia,-10000,F,-13.50,WIN,0.5,0.01,LOSING_GRADE
2025-11-28,"Richmond @ Charlotte",Richmond,-280,F,-18.40,WIN,0.5,0.18,LOSING_GRADE
2025-11-28,"Sam Houston State @ Idaho",Sam Houston State,-110,A+,10.00,WIN,5,4.55,LOSING_GRADE
2025-11-28,"Siena @ Longwood",Siena,-250,F,-18.90,WIN,0.5,0.20,LOSING_GRADE
2025-11-28,"SMU @ Mississippi State",Mississippi State,-102,A+,10.10,LOSS,5,-5.00,LOSING_GRADE
2025-11-28,"Southern Utah @ Robert Morris",Robert Morris,-420,B+,5.10,WIN,2,0.48,PROFITABLE_GRADE
2025-11-28,"South Florida @ Colorado State",Colorado State,114,A+,25.00,WIN,5,5.70,LOSING_GRADE
2025-11-28,"Stanford @ Saint Louis",Saint Louis,-180,F,-20.40,LOSS,0.5,-0.50,LOSING_GRADE
2025-11-28,"Texas State @ Seattle",Seattle,-290,F,-2.30,WIN,0.5,0.17,LOSING_GRADE
2025-11-28,"UC Santa Barbara @ Lehigh",UC Santa Barbara,-600,F,-14.00,WIN,0.5,0.08,LOSING_GRADE
2025-11-28,"Vanderbilt @ Saint Mary's",Saint Mary's,150,A+,25.00,LOSS,5,-5.00,LOSING_GRADE
2025-11-28,"Virginia Commonwealth @ Virginia Tech",Virginia Tech,126,A+,20.20,LOSS,5,-5.00,LOSING_GRADE
2025-11-28,"Washington @ Colorado",Colorado,158,A+,25.00,WIN,5,7.90,LOSING_GRADE
2025-11-28,"Western Kentucky @ Wichita State",Wichita State,-250,B,-5.20,LOSS,1.5,-1.50,PROFITABLE_GRADE
2025-11-28,"Wisconsin @ TCU",Wisconsin,-270,F,-4.30,LOSS,0.5,-1.00,LOSING_GRADE
2025-11-28,"Wright State @ Butler",Butler,-1600,F,-4.80,WIN,0.5,0.03,LOSING_GRADE
2025-11-29,"Air Force @ South Dakota",South Dakota,-165,D,2.00,WIN,0.5,0.30,PROFITABLE_GRADE
2025-11-29,"Albany @ Fordham",Fordham,-250,F,-3.20,LOSS,0.5,-0.50,LOSING_GRADE
2025-11-29,"Arkansas-Little Rock @ Southern Illinois",Southern Illinois,-1100,F,-18.30,WIN,0.5,0.05,LOSING_GRADE
2025-11-29,"Ball State @ Lafayette",Ball State,-125,F,-2.40,LOSS,0.5,-0.50,LOSING_GRADE
2025-11-29,"Bethune-Cookman @ Indiana",Indiana,-20000,F,-3.40,WIN,0.5,0.00,LOSING_GRADE
2025-11-29,"Boston University @ Northern Kentucky",Northern Kentucky,-230,D,-1.60,WIN,0.5,0.22,PROFITABLE_GRADE
