Date,Start Time (Sask),Start Time (ET),Visitor,Score,Home,Score,Status,Visitor Goalie,Home Goalie
10/7/2025,3:00 PM,5:00 PM,Chicago Blackhawks,2,Florida Panthers,3,Regulation,Spencer Knight,Sergei Bobrovsky
10/7/2025,6:00 PM,8:00 PM,Pittsburgh Penguins,3,New York Rangers,0,Regulation,Arturs Silovs,Igor Shesterkin
10/7/2025,8:30 PM,10:30 PM,Colorado Avalanche,4,Los Angeles Kings,1,Regulation,Scott Wedgewood,Darcy Kuemper
10/8/2025,5:00 PM,7:00 PM,Montreal Canadiens,2,Toronto Maple Leafs,5,Regulation,Sam Montembeault,Anthony Stolarz
10/8/2025,5:30 PM,7:30 PM,Boston Bruins,3,Washington Capitals,1,Regulation,Jeremy Swayman,Logan Thompson
10/8/2025,8:00 PM,10:00 PM,Calgary Flames,4,Edmonton Oilers,3,SO,Dustin Wolf,Stuart Skinner
10/8/2025,8:00 PM,10:00 PM,Los Angeles Kings,6,Vegas Golden Knights,5,SO,Anton Forsberg,Adin Hill
10/9/2025,5:00 PM,7:00 PM,Chicago Blackhawks,3,Boston Bruins,4,OT,Arvid Soderblom,Joonas Korpisalo
10/9/2025,5:00 PM,7:00 PM,New York Rangers,4,Buffalo Sabres,0,Regulation,Igor Shesterkin,Alex Lyon
10/9/2025,5:00 PM,7:00 PM,Montreal Canadiens,5,Detroit Red Wings,1,Regulation,Jakub Dobes,John Gibson
10/9/2025,5:00 PM,7:00 PM,Ottawa Senators,5,Tampa Bay Lightning,4,Regulation,Linus Ullmark,Andrei Vasilevskiy
10/9/2025,5:00 PM,7:00 PM,Philadelphia Flyers,1,Florida Panthers,2,Regulation,Daniel Vladar,Sergei Bobrovsky
10/9/2025,5:00 PM,7:00 PM,New York Islanders,3,Pittsburgh Penguins,4,Regulation,Ilya Sorokin,Tristan Jarry
10/9/2025,5:00 PM,7:00 PM,New Jersey Devils,3,Carolina Hurricanes,6,Regulation,Jacob Markstrom,Frederik Andersen
10/9/2025,6:00 PM,8:00 PM,Minnesota Wild,5,St. Louis Blues,0,Regulation,Filip Gustavsson,Jordan Binnington
10/9/2025,6:00 PM,8:00 PM,Columbus Blue Jackets,1,Nashville Predators,2,Regulation,Jet Greaves,Juuse Saros
10/9/2025,6:00 PM,8:00 PM,Dallas Stars,5,Winnipeg Jets,4,Regulation,Jake Oettinger,Connor Hellebuyck
10/9/2025,7:00 PM,9:00 PM,Utah Mammoth,1,Colorado Avalanche,2,Regulation,Karel Vejmelka,Scott Wedgewood
10/9/2025,8:00 PM,10:00 PM,Calgary Flames,1,Vancouver Canucks,5,Regulation,Dustin Wolf,Thatcher Demko
10/9/2025,8:00 PM,10:00 PM,Vegas Golden Knights,4,San Jose Sharks,3,OT,Akira Schmid,Alex Nedeljkovic
10/9/2025,8:00 PM,10:00 PM,Anaheim Ducks,1,Seattle Kraken,3,Regulation,Lukas Dostal,Joey Daccord
10/11/2025,11:30 AM,1:30 PM,Los Angeles Kings,2,Winnipeg Jets,3,Regulation,Darcy Kuemper,Connor Hellebuyck
10/11/2025,2:00 PM,4:00 PM,St. Louis Blues,4,Calgary Flames,2,Regulation,Joel Hofer,Dustin Wolf
10/11/2025,5:00 PM,7:00 PM,Buffalo Sabres,1,Boston Bruins,3,Regulation,Alex Lyon,Jeremy Swayman
10/11/2025,5:00 PM,7:00 PM,Toronto Maple Leafs,3,Detroit Red Wings,6,Regulation,Anthony Stolarz,Cameron Talbot
10/11/2025,5:00 PM,7:00 PM,New Jersey Devils,5,Tampa Bay Lightning,3,Regulation,Jacob Markstrom,Andrei Vasilevskiy
10/11/2025,5:00 PM,7:00 PM,Ottawa Senators,2,Florida Panthers,6,Regulation,Linus Ullmark,Sergei Bobrovsky
10/11/2025,5:00 PM,7:00 PM,Washington Capitals,4,New York Islanders,2,Regulation,Logan Thompson,Ilya Sorokin
10/11/2025,5:00 PM,7:00 PM,New York Rangers,6,Pittsburgh Penguins,1,Regulation,Igor Shesterkin,Arturs Silovs
10/11/2025,5:00 PM,7:00 PM,Philadelphia Flyers,3,Carolina Hurricanes,4,OT,Samuel Ersson,Frederik Andersen
10/11/2025,5:00 PM,7:00 PM,Montreal Canadiens,3,Chicago Blackhawks,2,Regulation,Sam Montembeault,Spencer Knight
10/11/2025,6:00 PM,8:00 PM,Utah Mammoth,3,Nashville Predators,2,OT,Karel Vejmelka,Juuse Saros
10/11/2025,6:00 PM,8:00 PM,Columbus Blue Jackets,7,Minnesota Wild,4,Regulation,Elvis Merzlikins,Filip Gustavsson
10/11/2025,7:00 PM,9:00 PM,Dallas Stars,5,Colorado Avalanche,4,SO,Jake Oettinger,Scott Wedgewood
10/11/2025,8:00 PM,10:00 PM,Vancouver Canucks,1,Edmonton Oilers,3,Regulation,Thatcher Demko,Calvin Pickard
10/11/2025,8:00 PM,10:00 PM,Anaheim Ducks,7,San Jose Sharks,6,OT,Petr Mrazek,Yaroslav Askarov
10/11/2025,8:00 PM,10:00 PM,Vegas Golden Knights,1,Seattle Kraken,2,OT,Adin Hill,Joey Daccord
10/12/2025,5:00 PM,7:00 PM,Washington Capitals,1,New York Rangers,0,Regulation,Charlie Lindgren,Jonathan Quick
10/13/2025,10:30 AM,12:30 PM,Colorado Avalanche,3,Buffalo Sabres,1,Regulation,Scott Wedgewood,Alex Lyon
10/13/2025,11:00 AM,1:00 PM,Tampa Bay Lightning,4,Boston Bruins,3,Regulation,Jonas Johansson,Joonas Korpisalo
10/13/2025,11:00 AM,1:00 PM,Nashville Predators,4,Ottawa Senators,1,Regulation,Juuse Saros,Linus Ullmark
10/13/2025,11:00 AM,1:00 PM,Winnipeg Jets,5,New York Islanders,2,Regulation,Eric Comrie,Ilya Sorokin
10/13/2025,2:00 PM,4:00 PM,Detroit Red Wings,3,Toronto Maple Leafs,2,Regulation,Cameron Talbot,Anthony Stolarz
10/13/2025,5:00 PM,7:00 PM,Florida Panthers,2,Philadelphia Flyers,5,Regulation,Daniil Tarasov,Daniel Vladar
10/13/2025,5:00 PM,7:00 PM,New Jersey Devils,3,Columbus Blue Jackets,2,Regulation,Jake Allen,Jet Greaves
10/13/2025,5:30 PM,7:30 PM,St. Louis Blues,5,Vancouver Canucks,2,Regulation,Jordan Binnington,Kevin Lankinen
10/13/2025,6:00 PM,8:00 PM,Los Angeles Kings,3,Minnesota Wild,4,SO,Darcy Kuemper,Jesper Wallstedt
10/13/2025,6:30 PM,8:30 PM,Utah Mammoth,1,Chicago Blackhawks,3,Regulation,Vitek Vanecek,Spencer Knight
10/14/2025,5:00 PM,7:00 PM,Nashville Predators,4,Toronto Maple Leafs,7,Regulation,Justus Annunen,Cayden Primeau
10/14/2025,5:00 PM,7:00 PM,Seattle Kraken,4,Montreal Canadiens,5,OT,Joey Daccord,Sam Montembeault
10/14/2025,5:00 PM,7:00 PM,Edmonton Oilers,2,New York Rangers,0,Regulation,Stuart Skinner,Igor Shesterkin
