normalized_name,oddstrader_name,haslametrics_name,dratings_name,conference,ncaa_name,notes,espn_name,barttorvik_name,odds_api_name,cbbd_name
Air Force,Air Force,Air Force,Air Force Falcons,TBD,Air Force,✓,Air Force,Air Force,Air Force Falcons,Air Force
Alabama,Alabama,Alabama,Alabama Crimson Tide,TBD,Alabama,✓,Alabama,Alabama,Alabama Crimson Tide,Alabama
Alabama State,Alabama State,Alabama State,Alabama State Hornets,TBD,Alabama St.,✓,Alabama State,Alabama St.,Alabama St Hornets,Alabama State
Appalachian State,Appalachian State,Appalachian St.,Appalachian State Mountaineers,TBD,App State,NCAA_FIX,Appalachian State,Appalachian St.,Appalachian St Mountaineers,App State
Arizona State,Arizona State,Arizona State,Arizona State Sun Devils,TBD,Arizona St.,✓,Arizona State,Arizona St.,Arizona St Sun Devils,Arizona State
Auburn,Auburn,Auburn,Auburn Tigers,TBD,Auburn,✓,Auburn,Auburn,Auburn Tigers,Auburn
Baylor,Baylor,Baylor,Baylor Bears,TBD,Baylor,✓,Baylor,Baylor,Baylor Bears,Baylor
Belmont,Belmont,Belmont,Belmont Bruins,TBD,Belmont,✓,Belmont,Belmont,Belmont Bruins,Belmont
Boston College,Boston College,Boston College,Boston College Eagles,TBD,Boston College,✓,Boston College,Boston College,Boston College Eagles,Boston College
Bowling Green,Bowling Green,Bowling Green,Bowling Green Falcons,TBD,Bowling Green,✓,Bowling Green,Bowling Green,Bowling Green Falcons,Bowling Green
Bradley,Bradley,Bradley,Bradley University Braves,TBD,Bradley,✓,Bradley,Bradley,Bradley Braves,Bradley
Brown,Brown,Brown,Brown Bears,TBD,Brown,✓,Brown,Brown,Brown Bears,Brown
Bucknell,Bucknell,Bucknell,Bucknell Bison,TBD,Bucknell,✓,Bucknell,Bucknell,Bucknell Bison,Bucknell
Buffalo,Buffalo,Buffalo,Buffalo Bulls,TBD,Buffalo,✓,Buffalo,Buffalo,Buffalo Bulls,Buffalo
Cal State Northridge,Cal State Northridge,CSU Northridge,Cal State Northridge Matadors,TBD,CSUN,✓,Cal State Northridge,Cal St. Northridge,CSU Northridge Matadors,Cal State Northridge
Cincinnati,Cincinnati,Cincinnati,Cincinnati Bearcats,TBD,Cincinnati,✓,Cincinnati,Cincinnati,Cincinnati Bearcats,Cincinnati
Colorado State,Colorado State,Colorado State,Colorado State Rams,TBD,Colorado St.,✓,Colorado State,Colorado St.,Colorado St Rams,Colorado State
Columbia,Columbia,Columbia,Columbia Lions,TBD,Columbia,✓,Columbia,Columbia,Columbia Lions,Columbia
Denver,Denver,Denver,Denver Pioneers,TBD,Denver,✓,Denver,Denver,Denver Pioneers,Denver
Eastern Michigan,Eastern Michigan,E. Michigan,Eastern Michigan Eagles,TBD,Eastern Mich.,✓,Eastern Michigan,Eastern Michigan,Eastern Michigan Eagles,Eastern Michigan
Fairfield,Fairfield,Fairfield,Fairfield Stags,TBD,Fairfield,✓,Fairfield,Fairfield,Fairfield Stags,Fairfield
Fresno State,Fresno State,Fresno State,Fresno State Bulldogs,TBD,Fresno St.,NCAA_FIX,Fresno State,Fresno St.,Fresno St Bulldogs,Fresno State
Gardner-webb,Gardner-webb,Gardner-Webb,Gardner Webb Runnin' Bulldogs,TBD,Gardner-Webb,✓,Gardner-webb,Gardner Webb,Gardner-Webb Bulldogs,Gardner-Webb
Georgia State,Georgia State,Georgia State,Georgia State Panthers,TBD,Georgia St.,✓,Georgia State,Georgia St.,Georgia St Panthers,Georgia State
Gonzaga,Gonzaga,Gonzaga,Gonzaga Bulldogs,TBD,Gonzaga,✓,Gonzaga,Gonzaga,Gonzaga Bulldogs,Gonzaga
Harvard,Harvard,Harvard,Harvard Crimson,TBD,Harvard,✓,Harvard,Harvard,Harvard Crimson,Harvard
Houston,Houston,Houston,Houston Cougars,TBD,Houston,✓,Houston,Houston,Houston Cougars,Houston
Idaho,Idaho,Idaho,Idaho Vandals,TBD,Idaho,✓,Idaho,Idaho,Idaho Vandals,Idaho
Idaho State,Idaho State,Idaho State,Idaho State Bengals,TBD,Idaho St.,✓,Idaho State,Idaho St.,Idaho State Bengals,Idaho State
Illinois-Chicago,Illinois-Chicago,UIC,UIC Flames,TBD,UIC,✓,Illinois-Chicago,Illinois Chicago,UIC Flames,UIC
Indiana State,Indiana State,Indiana State,Indiana State Sycamores,TBD,Indiana St.,✓,Indiana State,Indiana St.,Indiana St Sycamores,Indiana State
Iowa State,Iowa State,Iowa State,Iowa State Cyclones,TBD,Iowa St.,✓,Iowa State,Iowa St.,Iowa State Cyclones,Iowa State
