date,team,opponent,odds,grade,ev,units,result,profit
2025-10-22,DET,BUF,125,A+,11.5%,N/A,LOSS,-1.00u
2025-10-22,UNDER 6.0,DET,-110,A,7.2%,N/A,LOSS,0.00u
2025-10-22,NJD,MIN,-145,B+,6.2%,N/A,WIN,0.69u
2025-10-22,UNDER 6.0,MIN,-110,A,8.5%,N/A,WIN,0.91u
2025-10-22,MTL,CGY,125,A,9.8%,N/A,WIN,1.25u
2025-10-22,UNDER 6.0,MTL,-110,A,9.1%,N/A,WIN,0.91u
2025-10-23,ANA,BOS,100,A+,10.6%,N/A,WIN,1.00u
2025-10-23,UNDER 6.5,ANA,-110,A+,25.6%,N/A,LOSS,-1.00u
2025-10-23,CAR,COL,115,A+,13.5%,N/A,WIN,1.15u
2025-10-23,CHI,TBL,260,A+,65.1%,N/A,WIN,2.60u
2025-10-23,UNDER 6,CHI,-122,A+,17.1%,N/A,WIN,0.82u
2025-10-23,DET,NYI,115,A,7.4%,N/A,LOSS,-1.00u
2025-10-23,UNDER 6,DET,-134,A+,10.7%,N/A,LOSS,-1.00u
2025-10-23,DAL,LAK,-140,C,2.6%,N/A,LOSS,-1.00u
2025-10-23,UNDER 5.5,LAK,104,A+,13.6%,N/A,WIN,1.04u
2025-10-23,MTL,EDM,195,A+,13.5%,N/A,LOSS,-1.00u
2025-10-23,UNDER 6,MTL,-140,A+,15.7%,N/A,LOSS,-1.00u
2025-10-23,PHI,OTT,135,A+,26.9%,N/A,LOSS,-1.00u
2025-10-23,PIT,FLA,165,A+,44.5%,N/A,WIN,1.65u
2025-10-23,SEA,WPG,200,A+,51.2%,N/A,WIN,2.00u
2025-10-23,SJS,NYR,225,A+,21.4%,N/A,WIN,2.25u
2025-10-23,UNDER 6,SJS,-134,B,4.4%,N/A,LOSS,-1.00u
2025-10-23,STL,UTA,-120,C,1.7%,N/A,LOSS,-1.00u
2025-10-23,UNDER 5.5,UTA,-120,A,9.7%,N/A,LOSS,-1.00u
2025-10-23,VAN,NSH,-105,C,2.1%,N/A,LOSS,-1.00u
2025-10-23,OVER 5.5,VAN,-130,C,0.1%,N/A,LOSS,-1.00u
2025-10-24,CGY,WPG,132,B+,5.4%,N/A,LOSS,-1.00u
2025-10-24,OVER 5.5,CGY,-120,C,1.6%,N/A,WIN,0.83u
2025-10-24,SJS,NJD,300,A+,45.7%,N/A,LOSS,-1.00u
2025-10-24,UNDER 6.5,SJS,-115,B+,6.4%,N/A,WIN,0.87u
2025-10-24,TOR,BUF,-125,A+,11.5%,N/A,LOSS,-1.00u
2025-10-24,UNDER 6,TOR,-130,C,0.2%,N/A,LOSS,-1.00u
2025-10-24,WSH,CBJ,-114,A,7.8%,N/A,WIN,0.88u
2025-10-24,UNDER 6,WSH,-110,C,2.9%,N/A,LOSS,0.00u
2025-10-25,ANA,TBL,165,A+,43.5%,N/A,LOSS,-1.00u
2025-10-25,UNDER 6.5,ANA,100,A+,15.6%,N/A,LOSS,-1.00u
2025-10-25,TOR,BUF,-140,A,9.3%,N/A,WIN,0.71u
2025-10-25,UNDER 6.5,BUF,-110,A+,13.4%,N/A,LOSS,-1.00u
2025-10-25,UNDER 6,CAR,-124,C,1.8%,N/A,WIN,0.81u
