"","Team","GP","TOI","W","L","OTL","ROW","Points","Point %","CF","CA","CF%","FF","FA","FF%","SF","SA","SF%","GF","GA","GF%","xGF","xGA","xGF%","SCF","SCA","SCF%","SCSF","SCSA","SCSF%","SCGF","SCGA","SCGF%","SCSH%","SCSV%","HDCF","HDCA","HDCF%","HDSF","HDSA","HDSF%","HDGF","HDGA","HDGF%","HDSH%","HDSV%","MDCF","MDCA","MDCF%","MDSF","MDSA","MDSF%","MDGF","MDGA","MDGF%","MDSH%","MDSV%","LDCF","LDCA","LDCF%","LDSF","LDSA","LDSF%","LDGF","LDGA","LDGF%","LDSH%","LDSV%","SH%","SV%","PDO"
"1","Anaheim Ducks","10","465.1","6","4","0","6","12","0.600","471","470","50.05","345","337","50.59","213","225","48.63","22","17","56.41","21.34","20.53","50.97","215","245","46.74","102","130","43.97","20","15","57.14","19.61","88.46","91","87","51.12","55","55","50.00","16","7","69.57","29.09","87.27","124","158","43.97","47","75","38.52","4","8","33.33","8.51","89.33","264","261","50.29","104","82","55.91","2","2","50.00","1.92","97.56","10.33","92.44","1.028"
"2","Boston Bruins","10","471.2","7","3","0","6","14","0.700","457","494","48.05","327","338","49.17","212","214","49.77","17","16","51.52","18.96","21.53","46.83","218","215","50.35","112","104","51.85","14","10","58.33","12.50","90.38","83","89","48.26","51","52","49.51","10","7","58.82","19.61","86.54","135","126","51.72","61","52","53.98","4","3","57.14","6.56","94.23","249","286","46.54","86","101","45.99","3","6","33.33","3.49","94.06","8.02","92.52","1.005"
"3","Buffalo Sabres","10","498.2333","4","5","1","3","9","0.450","441","513","46.23","305","365","45.52","199","244","44.92","27","28","49.09","20.11","21.34","48.52","225","202","52.69","117","113","50.87","23","23","50.00","19.66","79.65","84","84","50.00","55","58","48.67","11","14","44.00","20.00","75.86","141","118","54.44","62","55","52.99","12","9","57.14","19.35","83.64","226","343","39.72","77","112","40.74","4","5","44.44","5.19","95.54","13.57","88.52","1.021"
"4","Carolina Hurricanes","10","491.35","7","1","2","7","16","0.800","624","348","64.20","439","256","63.17","276","179","60.66","23","16","58.97","26.21","16.48","61.40","265","173","60.50","119","101","54.09","17","15","53.13","14.29","85.15","105","63","62.50","57","43","57.00","8","10","44.44","14.04","76.74","160","110","59.26","62","58","51.67","9","5","64.29","14.52","91.38","406","200","67.00","149","66","69.30","6","1","85.71","4.03","98.48","8.33","91.06","0.994"
"5","Columbus Blue Jackets","10","510.0167","4","4","2","2","10","0.500","467","500","48.29","338","360","48.42","212","231","47.86","19","25","43.18","22.82","22.53","50.32","210","227","48.05","100","117","46.08","17","20","45.95","17.00","82.91","99","91","52.11","58","57","50.43","14","11","56.00","24.14","80.70","111","136","44.94","42","60","41.18","3","9","25.00","7.14","85.00","266","318","45.55","95","100","48.72","2","5","28.57","2.11","95.00","8.96","89.18","0.981"
"6","Calgary Flames","10","493.1833","4","5","1","4","9","0.450","523","434","54.65","371","298","55.46","262","193","57.58","20","17","54.05","20.17","16.86","54.47","208","188","52.53","107","96","52.71","14","13","51.85","13.08","86.46","81","71","53.29","44","43","50.57","8","7","53.33","18.18","83.72","127","117","52.05","63","53","54.31","6","6","50.00","9.52","88.68","352","261","57.42","138","85","61.88","6","4","60.00","4.35","95.29","7.63","91.19","0.988"
"7","Chicago Blackhawks","10","500.7333","5","3","2","5","12","0.600","421","510","45.22","316","385","45.08","207","260","44.33","21","20","51.22","19.27","24.18","44.35","195","253","43.53","111","129","46.25","20","16","55.56","18.02","87.60","79","103","43.41","54","67","44.63","14","9","60.87","25.93","86.57","116","150","43.61","57","62","47.90","6","7","46.15","10.53","88.71","254","285","47.12","86","106","44.79","1","4","20.00","1.16","96.23","10.14","92.31","1.025"
"8","Colorado Avalanche","10","463.1333","9","0","1","9","19","0.950","515","429","54.56","381","298","56.11","257","190","57.49","34","15","69.39","24.75","17.16","59.05","281","200","58.42","146","90","61.86","31","13","70.45","21.23","85.56","109","71","60.56","73","45","61.86","18","8","69.23","24.66","82.22","172","129","57.14","73","45","61.86","13","5","72.22","17.81","88.89","276","255","51.98","98","89","52.41","3","2","60.00","3.06","97.75","13.23","92.11","1.053"
"9","Dallas Stars","10","488.6","7","2","1","6","15","0.750","377","421","47.24","271","300","47.46","185","189","49.47","25","18","58.14","19.13","18.24","51.18","195","194","50.13","107","87","55.15","23","15","60.53","21.50","82.76","80","68","54.05","52","40","56.52","10","9","52.63","19.23","77.50","115","126","47.72","55","47","53.92","13","6","68.42","23.64","87.23","216","247","46.65","73","95","43.45","2","3","40.00","2.74","96.84","13.51","90.48","1.040"
"10","Detroit Red Wings","10","474.4","4","5","1","3","9","0.450","498","420","54.25","361","298","54.78","240","199","54.67","13","21","38.24","20.81","19.73","51.33","194","207","48.38","112","107","51.14","10","19","34.48","8.93","82.24","79","91","46.47","53","62","46.09","7","11","38.89","13.21","82.26","115","116","49.78","59","45","56.73","3","8","27.27","5.08","82.22","321","240","57.22","117","84","58.21","3","2","60.00","2.56","97.62","5.42","89.45","0.949"
