team,season,name,team,position,situation,games_played,xGoalsPercentage,corsiPercentage,fenwickPercentage,iceTime,xOnGoalFor,xGoalsFor,xReboundsFor,xFreezeFor,xPlayStoppedFor,xPlayContinuedInZoneFor,xPlayContinuedOutsideZoneFor,flurryAdjustedxGoalsFor,scoreVenueAdjustedxGoalsFor,flurryScoreVenueAdjustedxGoalsFor,shotsOnGoalFor,missedShotsFor,blockedShotAttemptsFor,shotAttemptsFor,goalsFor,reboundsFor,reboundGoalsFor,freezeFor,playStoppedFor,playContinuedInZoneFor,playContinuedOutsideZoneFor,savedShotsOnGoalFor,savedUnblockedShotAttemptsFor,penaltiesFor,penalityMinutesFor,faceOffsWonFor,hitsFor,takeawaysFor,giveawaysFor,lowDangerShotsFor,mediumDangerShotsFor,highDangerShotsFor,lowDangerxGoalsFor,mediumDangerxGoalsFor,highDangerxGoalsFor,lowDangerGoalsFor,mediumDangerGoalsFor,highDangerGoalsFor,scoreAdjustedShotsAttemptsFor,unblockedShotAttemptsFor,scoreAdjustedUnblockedShotAttemptsFor,dZoneGiveawaysFor,xGoalsFromxReboundsOfShotsFor,xGoalsFromActualReboundsOfShotsFor,reboundxGoalsFor,totalShotCreditFor,scoreAdjustedTotalShotCreditFor,scoreFlurryAdjustedTotalShotCreditFor,xOnGoalAgainst,xGoalsAgainst,xReboundsAgainst,xFreezeAgainst,xPlayStoppedAgainst,xPlayContinuedInZoneAgainst,xPlayContinuedOutsideZoneAgainst,flurryAdjustedxGoalsAgainst,scoreVenueAdjustedxGoalsAgainst,flurryScoreVenueAdjustedxGoalsAgainst,shotsOnGoalAgainst,missedShotsAgainst,blockedShotAttemptsAgainst,shotAttemptsAgainst,goalsAgainst,reboundsAgainst,reboundGoalsAgainst,freezeAgainst,playStoppedAgainst,playContinuedInZoneAgainst,playContinuedOutsideZoneAgainst,savedShotsOnGoalAgainst,savedUnblockedShotAttemptsAgainst,penaltiesAgainst,penalityMinutesAgainst,faceOffsWonAgainst,hitsAgainst,takeawaysAgainst,giveawaysAgainst,lowDangerShotsAgainst,mediumDangerShotsAgainst,highDangerShotsAgainst,lowDangerxGoalsAgainst,mediumDangerxGoalsAgainst,highDangerxGoalsAgainst,lowDangerGoalsAgainst,mediumDangerGoalsAgainst,highDangerGoalsAgainst,scoreAdjustedShotsAttemptsAgainst,unblockedShotAttemptsAgainst,scoreAdjustedUnblockedShotAttemptsAgainst,dZoneGiveawaysAgainst,xGoalsFromxReboundsOfShotsAgainst,xGoalsFromActualReboundsOfShotsAgainst,reboundxGoalsAgainst,totalShotCreditAgainst,scoreAdjustedTotalShotCreditAgainst,scoreFlurryAdjustedTotalShotCreditAgainst
TOR,2025,TOR,TOR,Team Level,other,27,0.57,0.43,0.49,3659.0,50.07,15.24,3.45,8.42,1.63,23.48,14.77,13.79,15.24,13.79,44.0,23.0,15.0,82.0,14.0,6.0,0.0,8.0,0.0,19.0,20.0,30.0,53.0,1.0,2.0,42.0,9.0,2.0,14.0,25.0,19.0,23.0,0.96,2.29,11.99,0.0,5.0,9.0,82.0,67.0,67.0,4.0,1.01,2.44,2.44,13.82,13.82,13.16,50.91,11.6,3.55,9.34,1.77,26.04,17.7,10.86,11.6,10.86,49.0,21.0,39.0,109.0,9.0,3.0,0.0,7.0,0.0,27.0,24.0,40.0,61.0,0.0,0.0,33.0,1.0,6.0,6.0,36.0,15.0,19.0,1.73,1.81,8.06,1.0,3.0,5.0,109.0,70.0,70.0,1.0,1.08,0.4,0.4,12.28,12.28,11.5
TOR,2025,TOR,TOR,Team Level,all,27,0.5,0.45,0.46,98354.0,805.57,88.26,55.61,192.7,26.63,419.49,301.32,83.28,88.58,83.57,734.0,350.0,381.0,1465.0,94.0,85.0,10.0,158.0,2.0,331.0,414.0,640.0,990.0,90.0,192.0,890.0,645.0,120.0,464.0,733.0,248.0,103.0,21.26,30.74,36.25,31.0,38.0,25.0,1465.14,1084.0,1086.77,222.0,12.47,18.23,18.23,82.5,82.82,80.34,930.29,89.26,64.27,225.49,31.11,507.27,362.6,85.63,89.63,85.99,846.0,434.0,489.0,1769.0,91.0,88.0,9.0,182.0,2.0,469.0,448.0,755.0,1189.0,80.0,176.0,671.0,485.0,120.0,451.0,953.0,232.0,95.0,28.06,28.28,32.92,36.0,32.0,23.0,1770.9,1280.0,1279.72,203.0,14.49,15.76,17.25,86.5,86.74,84.09
TOR,2025,TOR,TOR,Team Level,5on5,27,0.49,0.46,0.46,80300.0,631.68,57.6,41.36,157.01,20.66,330.58,243.79,55.44,57.92,55.73,573.0,278.0,310.0,1161.0,70.0,62.0,7.0,131.0,2.0,258.0,328.0,503.0,781.0,83.0,178.0,704.0,613.0,102.0,415.0,603.0,191.0,57.0,17.58,24.01,16.02,30.0,30.0,10.0,1161.14,851.0,853.77,204.0,8.63,12.69,12.69,53.55,53.87,52.89,711.93,59.56,46.03,179.72,23.83,389.7,285.17,57.89,59.92,58.25,640.0,344.0,402.0,1386.0,66.0,60.0,6.0,145.0,1.0,365.0,347.0,574.0,918.0,77.0,170.0,527.0,468.0,101.0,404.0,750.0,177.0,57.0,21.84,21.86,15.86,30.0,26.0,10.0,1387.9,984.0,983.72,189.0,9.54,10.85,11.64,57.46,57.7,56.81
TOR,2025,TOR,TOR,Team Level,4on5,27,0.05,0.08,0.1,7580.0,16.01,0.9,0.72,2.51,0.52,5.16,11.18,0.9,0.9,0.9,17.0,4.0,1.0,22.0,1.0,0.0,0.0,1.0,0.0,6.0,13.0,16.0,20.0,4.0,8.0,76.0,15.0,8.0,15.0,17.0,4.0,0.0,0.5,0.4,0.0,0.0,1.0,0.0,22.0,21.0,21.0,13.0,0.17,0.0,0.0,1.07,1.07,1.07,145.85,16.04,13.69,33.33,4.91,85.06,44.98,14.85,16.04,14.85,134.0,64.0,46.0,244.0,13.0,24.0,3.0,28.0,1.0,74.0,58.0,121.0,185.0,2.0,4.0,57.0,4.0,4.0,26.0,148.0,32.0,18.0,3.84,3.6,8.6,4.0,1.0,8.0,244.0,198.0,198.0,3.0,3.64,4.11,4.81,14.86,14.86,13.91
TOR,2025,TOR,TOR,Team Level,5on4,27,0.87,0.87,0.84,6815.0,107.82,14.51,10.07,24.75,3.83,60.26,31.58,13.15,14.51,13.15,100.0,45.0,55.0,200.0,9.0,17.0,3.0,18.0,0.0,48.0,53.0,91.0,136.0,2.0,4.0,68.0,8.0,8.0,20.0,88.0,34.0,23.0,2.21,4.05,8.24,1.0,2.0,6.0,200.0,145.0,145.0,1.0,2.65,3.1,3.1,14.06,14.06,13.22,21.61,2.08,1.0,3.1,0.6,6.47,14.75,2.04,2.08,2.04,23.0,5.0,2.0,30.0,3.0,1.0,0.0,2.0,0.0,3.0,19.0,20.0,25.0,1.0,2.0,54.0,12.0,9.0,15.0,19.0,8.0,1.0,0.65,1.01,0.41,1.0,2.0,0.0,30.0,28.0,28.0,10.0,0.23,0.41,0.41,1.89,1.89,1.88
SJS,2025,SJS,SJS,Team Level,other,28,0.49,0.55,0.56,2793.0,48.64,9.37,4.1,9.15,1.77,30.27,13.34,8.75,9.37,8.75,46.0,22.0,23.0,91.0,11.0,1.0,0.0,5.0,0.0,32.0,19.0,35.0,57.0,6.0,12.0,42.0,3.0,3.0,7.0,34.0,27.0,7.0,1.45,3.42,4.5,4.0,4.0,3.0,91.0,68.0,68.0,3.0,1.21,0.1,0.1,10.48,10.48,9.78,39.21,9.91,2.88,6.81,1.36,19.24,12.8,9.03,9.91,9.03,40.0,13.0,20.0,73.0,10.0,4.0,1.0,6.0,1.0,16.0,16.0,30.0,43.0,1.0,2.0,30.0,8.0,8.0,9.0,22.0,13.0,18.0,0.73,1.8,7.38,2.0,1.0,7.0,73.0,53.0,53.0,4.0,0.88,1.54,1.54,9.25,9.25,8.82
SJS,2025,SJS,SJS,Team Level,all,28,0.46,0.44,0.43,102296.0,723.02,81.25,52.06,168.2,24.71,388.61,271.17,76.6,80.82,76.17,682.0,304.0,457.0,1443.0,80.0,73.0,9.0,130.0,0.0,347.0,356.0,602.0,906.0,101.0,211.0,736.0,563.0,117.0,426.0,664.0,225.0,97.0,19.25,27.92,34.07,27.0,30.0,23.0,1436.97,986.0,982.56,191.0,11.88,16.36,16.41,76.71,76.39,74.37,968.75,96.09,68.97,229.18,32.35,523.62,374.78,90.81,96.84,91.52,888.0,437.0,486.0,1811.0,93.0,103.0,10.0,176.0,1.0,498.0,454.0,795.0,1232.0,108.0,227.0,803.0,469.0,117.0,419.0,949.0,266.0,110.0,26.42,33.32,36.35,36.0,29.0,28.0,1822.95,1325.0,1334.13,193.0,15.35,22.52,22.52,88.93,89.63,87.29
SJS,2025,SJS,SJS,Team Level,5on5,28,0.44,0.44,0.42,80200.0,518.42,49.29,34.62,127.23,17.68,276.68,204.5,46.92,48.86,46.48,492.0,218.0,357.0,1067.0,51.0,55.0,7.0,96.0,0.0,246.0,262.0,441.0,659.0,87.0,183.0,547.0,540.0,93.0,374.0,506.0,146.0,58.0,14.41,18.42,16.46,21.0,22.0,8.0,1060.97,710.0,706.56,175.0,7.18,11.58,11.96,44.51,44.19,43.39,724.97,62.55,47.71,180.63,24.09,393.91,287.11,60.09,63.29,60.81,658.0,338.0,375.0,1371.0,62.0,68.0,7.0,146.0,0.0,372.0,348.0,596.0,934.0,95.0,201.0,589.0,433.0,89.0,360.0,741.0,193.0,62.0,20.78,24.37,17.4,31.0,19.0,12.0,1382.95,996.0,1005.13,163.0,9.89,13.88,13.88,58.55,59.25,58.38
SJS,2025,SJS,SJS,Team Level,4on5,28,0.1,0.08,0.1,9650.0,20.4,2.34,0.99,2.93,0.59,5.94,13.21,2.27,2.34,2.27,20.0,6.0,2.0,28.0,2.0,1.0,1.0,0.0,0.0,5.0,18.0,18.0,24.0,3.0,6.0,63.0,16.0,13.0,13.0,13.0,10.0,3.0,0.28,1.21,0.84,0.0,1.0,1.0,28.0,26.0,26.0,10.0,0.23,0.22,0.22,2.35,2.35,2.34,171.59,20.63,16.76,36.38,5.85,100.23,52.14,18.71,20.63,18.71,152.0,80.0,89.0,321.0,17.0,29.0,2.0,20.0,0.0,103.0,63.0,135.0,215.0,7.0,14.0,94.0,5.0,9.0,27.0,155.0,50.0,27.0,3.98,5.84,10.81,1.0,8.0,8.0,321.0,232.0,232.0,8.0,4.21,6.75,6.75,18.09,18.09,17.09
SJS,2025,SJS,SJS,Team Level,5on4,28,0.87,0.85,0.81,9653.0,135.57,20.24,12.36,28.88,4.67,75.73,40.12,18.67,20.24,18.67,124.0,58.0,75.0,257.0,16.0,16.0,1.0,29.0,0.0,64.0,57.0,108.0,166.0,5.0,10.0,84.0,4.0,8.0,32.0,111.0,42.0,29.0,3.11,4.87,12.27,2.0,3.0,11.0,257.0,182.0,182.0,3.0,3.26,4.46,4.13,19.37,19.37,18.85,32.98,3.01,1.62,5.36,1.04,10.23,22.73,2.97,3.01,2.97,38.0,6.0,2.0,46.0,4.0,2.0,0.0,4.0,0.0,7.0,27.0,34.0,40.0,5.0,10.0,90.0,23.0,11.0,23.0,31.0,10.0,3.0,0.93,1.32,0.77,2.0,1.0,1.0,46.0,44.0,44.0,18.0,0.38,0.35,0.35,3.04,3.04,3.01
