team,season,name,team,position,situation,games_played,xGoalsPercentage,corsiPercentage,fenwickPercentage,iceTime,xOnGoalFor,xGoalsFor,xReboundsFor,xFreezeFor,xPlayStoppedFor,xPlayContinuedInZoneFor,xPlayContinuedOutsideZoneFor,flurryAdjustedxGoalsFor,scoreVenueAdjustedxGoalsFor,flurryScoreVenueAdjustedxGoalsFor,shotsOnGoalFor,missedShotsFor,blockedShotAttemptsFor,shotAttemptsFor,goalsFor,reboundsFor,reboundGoalsFor,freezeFor,playStoppedFor,playContinuedInZoneFor,playContinuedOutsideZoneFor,savedShotsOnGoalFor,savedUnblockedShotAttemptsFor,penaltiesFor,penalityMinutesFor,faceOffsWonFor,hitsFor,takeawaysFor,giveawaysFor,lowDangerShotsFor,mediumDangerShotsFor,highDangerShotsFor,lowDangerxGoalsFor,mediumDangerxGoalsFor,highDangerxGoalsFor,lowDangerGoalsFor,mediumDangerGoalsFor,highDangerGoalsFor,scoreAdjustedShotsAttemptsFor,unblockedShotAttemptsFor,scoreAdjustedUnblockedShotAttemptsFor,dZoneGiveawaysFor,xGoalsFromxReboundsOfShotsFor,xGoalsFromActualReboundsOfShotsFor,reboundxGoalsFor,totalShotCreditFor,scoreAdjustedTotalShotCreditFor,scoreFlurryAdjustedTotalShotCreditFor,xOnGoalAgainst,xGoalsAgainst,xReboundsAgainst,xFreezeAgainst,xPlayStoppedAgainst,xPlayContinuedInZoneAgainst,xPlayContinuedOutsideZoneAgainst,flurryAdjustedxGoalsAgainst,scoreVenueAdjustedxGoalsAgainst,flurryScoreVenueAdjustedxGoalsAgainst,shotsOnGoalAgainst,missedShotsAgainst,blockedShotAttemptsAgainst,shotAttemptsAgainst,goalsAgainst,reboundsAgainst,reboundGoalsAgainst,freezeAgainst,playStoppedAgainst,playContinuedInZoneAgainst,playContinuedOutsideZoneAgainst,savedShotsOnGoalAgainst,savedUnblockedShotAttemptsAgainst,penaltiesAgainst,penalityMinutesAgainst,faceOffsWonAgainst,hitsAgainst,takeawaysAgainst,giveawaysAgainst,lowDangerShotsAgainst,mediumDangerShotsAgainst,highDangerShotsAgainst,lowDangerxGoalsAgainst,mediumDangerxGoalsAgainst,highDangerxGoalsAgainst,lowDangerGoalsAgainst,mediumDangerGoalsAgainst,highDangerGoalsAgainst,scoreAdjustedShotsAttemptsAgainst,unblockedShotAttemptsAgainst,scoreAdjustedUnblockedShotAttemptsAgainst,dZoneGiveawaysAgainst,xGoalsFromxReboundsOfShotsAgainst,xGoalsFromActualReboundsOfShotsAgainst,reboundxGoalsAgainst,totalShotCreditAgainst,scoreAdjustedTotalShotCreditAgainst,scoreFlurryAdjustedTotalShotCreditAgainst
NJD,2025,NJD,NJD,Team Level,other,50,0.49,0.54,0.54,5793.0,100.5,20.3,7.96,18.45,3.8,55.06,31.43,18.42,20.3,18.42,93.0,44.0,56.0,193.0,19.0,11.0,0.0,11.0,0.0,60.0,36.0,74.0,118.0,1.0,2.0,64.0,7.0,13.0,12.0,69.0,38.0,30.0,3.14,4.8,12.37,3.0,5.0,11.0,193.0,137.0,137.0,4.0,2.29,3.43,3.43,19.16,19.16,17.79,86.36,20.85,6.73,14.9,3.09,47.62,24.81,18.88,20.85,18.88,75.0,43.0,45.0,163.0,16.0,10.0,2.0,11.0,1.0,52.0,28.0,59.0,102.0,1.0,2.0,69.0,21.0,3.0,20.0,53.0,36.0,29.0,2.37,4.55,13.92,1.0,5.0,10.0,163.0,118.0,118.0,8.0,1.95,2.88,2.88,19.92,19.92,18.4
NJD,2025,NJD,NJD,Team Level,all,50,0.49,0.51,0.51,182115.0,1600.47,149.64,112.26,389.12,55.21,861.03,616.74,141.39,149.72,141.51,1479.0,705.0,860.0,3044.0,128.0,182.0,8.0,277.0,3.0,819.0,775.0,1351.0,2056.0,149.0,338.0,1398.0,976.0,236.0,773.0,1631.0,390.0,163.0,47.73,48.34,53.56,52.0,41.0,35.0,3029.83,2184.0,2181.67,372.0,25.11,35.94,35.94,138.81,138.89,135.0,1552.46,153.87,110.63,372.3,53.02,838.21,592.95,145.94,154.11,146.19,1410.0,711.0,814.0,2935.0,151.0,191.0,25.0,311.0,3.0,727.0,738.0,1259.0,1970.0,144.0,324.0,1377.0,981.0,230.0,778.0,1548.0,397.0,176.0,46.49,49.28,58.1,65.0,44.0,42.0,2950.63,2121.0,2127.78,372.0,24.64,39.74,39.74,138.76,139.1,134.97
NJD,2025,NJD,NJD,Team Level,5on5,50,0.48,0.51,0.51,152663.0,1272.16,100.38,83.37,323.76,43.35,683.18,504.96,96.5,100.46,96.61,1157.0,582.0,702.0,2441.0,81.0,134.0,3.0,242.0,3.0,639.0,640.0,1076.0,1658.0,131.0,299.0,1125.0,922.0,196.0,696.0,1352.0,298.0,89.0,38.91,37.06,24.41,43.0,30.0,8.0,2426.83,1739.0,1736.67,342.0,17.34,23.86,23.86,93.85,93.93,92.34,1241.66,107.05,83.59,309.1,41.78,666.1,490.38,103.02,107.29,103.27,1121.0,577.0,679.0,2377.0,110.0,145.0,16.0,256.0,2.0,579.0,606.0,1011.0,1588.0,126.0,285.0,1096.0,917.0,212.0,705.0,1279.0,305.0,114.0,38.03,37.93,31.08,55.0,36.0,19.0,2392.63,1698.0,1704.78,349.0,17.43,28.32,28.33,96.15,96.49,94.91
NJD,2025,NJD,NJD,Team Level,4on5,50,0.13,0.11,0.13,12065.0,29.2,3.55,1.7,4.01,0.91,9.08,19.76,3.51,3.55,3.51,29.0,10.0,5.0,44.0,3.0,2.0,0.0,0.0,0.0,10.0,24.0,26.0,36.0,8.0,19.0,93.0,27.0,19.0,24.0,23.0,9.0,7.0,0.71,1.18,1.66,1.0,1.0,1.0,44.0,39.0,39.0,22.0,0.39,0.32,0.32,3.61,3.61,3.6,200.93,23.83,19.08,44.76,7.39,116.68,61.25,21.92,23.83,21.92,189.0,84.0,86.0,359.0,25.0,34.0,7.0,43.0,0.0,90.0,81.0,164.0,248.0,10.0,23.0,133.0,14.0,3.0,36.0,194.0,49.0,30.0,5.52,5.89,12.42,9.0,3.0,13.0,359.0,273.0,273.0,1.0,4.98,8.18,8.17,20.63,20.63,19.61
NJD,2025,NJD,NJD,Team Level,5on4,50,0.92,0.91,0.89,11594.0,198.61,25.41,19.23,42.91,7.15,113.71,60.59,22.97,25.41,22.97,200.0,69.0,97.0,366.0,25.0,35.0,5.0,24.0,0.0,110.0,75.0,175.0,244.0,9.0,18.0,116.0,20.0,8.0,41.0,187.0,45.0,37.0,4.97,5.31,15.14,5.0,5.0,15.0,366.0,269.0,269.0,4.0,5.1,8.32,8.32,22.2,22.2,21.27,23.5,2.14,1.24,3.54,0.77,7.81,16.51,2.11,2.14,2.11,25.0,7.0,4.0,36.0,0.0,2.0,0.0,1.0,0.0,6.0,23.0,25.0,32.0,7.0,14.0,79.0,29.0,12.0,17.0,22.0,7.0,3.0,0.57,0.9,0.67,0.0,0.0,0.0,36.0,32.0,32.0,14.0,0.28,0.36,0.36,2.05,2.05,2.04
TOR,2025,TOR,TOR,Team Level,other,50,0.5,0.39,0.43,6021.0,83.09,23.81,5.5,13.61,2.68,38.43,28.96,21.92,23.81,21.92,70.0,43.0,25.0,138.0,26.0,7.0,0.0,11.0,1.0,29.0,39.0,44.0,87.0,4.0,8.0,86.0,15.0,8.0,22.0,52.0,29.0,32.0,2.39,3.47,17.95,5.0,6.0,15.0,138.0,113.0,113.0,6.0,1.58,2.65,2.65,22.75,22.75,21.53,110.59,23.55,7.86,20.16,3.73,55.59,38.09,21.85,23.55,21.85,103.0,46.0,64.0,213.0,21.0,6.0,1.0,12.0,0.0,62.0,48.0,82.0,128.0,1.0,2.0,51.0,13.0,14.0,11.0,76.0,42.0,31.0,3.63,5.25,14.67,3.0,7.0,11.0,213.0,149.0,149.0,4.0,2.4,2.0,2.0,23.94,23.94,22.33
TOR,2025,TOR,TOR,Team Level,all,50,0.48,0.45,0.46,182927.0,1504.55,146.53,103.43,362.25,49.77,791.15,573.86,139.75,146.64,139.86,1360.0,667.0,673.0,2700.0,166.0,146.0,17.0,292.0,4.0,646.0,773.0,1194.0,1861.0,157.0,339.0,1596.0,1146.0,233.0,838.0,1460.0,421.0,146.0,43.02,51.4,52.12,64.0,64.0,38.0,2700.4,2027.0,2028.29,407.0,23.03,27.92,27.92,141.64,141.84,138.24,1758.07,158.32,121.84,430.99,59.57,953.52,683.76,150.69,159.44,151.72,1588.0,820.0,868.0,3276.0,165.0,181.0,18.0,330.0,4.0,892.0,836.0,1423.0,2243.0,149.0,329.0,1236.0,915.0,226.0,787.0,1850.0,400.0,158.0,53.78,49.12,55.43,70.0,60.0,35.0,3295.5,2408.0,2419.24,365.0,27.44,33.41,34.73,151.04,151.83,146.95
TOR,2025,TOR,TOR,Team Level,5on5,50,0.48,0.45,0.46,151392.0,1187.53,96.4,77.38,298.05,39.09,626.66,464.42,93.03,96.51,93.14,1055.0,547.0,550.0,2152.0,117.0,111.0,14.0,241.0,3.0,515.0,615.0,938.0,1485.0,143.0,311.0,1256.0,1095.0,193.0,756.0,1208.0,312.0,82.0,34.96,38.65,22.79,56.0,46.0,15.0,2152.4,1602.0,1603.29,377.0,16.14,20.7,20.7,91.85,92.06,90.63,1368.91,105.41,88.66,349.93,46.32,745.01,547.67,101.83,106.52,102.86,1223.0,660.0,721.0,2604.0,119.0,129.0,13.0,274.0,3.0,692.0,666.0,1104.0,1764.0,142.0,317.0,987.0,879.0,186.0,707.0,1492.0,298.0,93.0,42.66,36.7,26.05,61.0,46.0,12.0,2623.5,1883.0,1894.24,335.0,18.41,23.45,24.07,99.75,100.54,98.71
TOR,2025,TOR,TOR,Team Level,4on5,50,0.1,0.1,0.11,13119.0,31.87,2.87,1.64,4.83,1.06,10.36,21.23,2.78,2.87,2.78,36.0,6.0,2.0,44.0,3.0,1.0,0.0,2.0,0.0,10.0,26.0,33.0,39.0,5.0,10.0,134.0,24.0,18.0,24.0,29.0,9.0,4.0,0.9,0.95,1.02,1.0,2.0,0.0,44.0,42.0,42.0,22.0,0.37,0.21,0.21,3.04,3.04,3.02,246.42,26.47,23.68,55.9,8.53,142.69,75.73,24.23,26.47,24.23,228.0,105.0,79.0,412.0,21.0,44.0,4.0,42.0,1.0,132.0,93.0,207.0,312.0,5.0,8.0,96.0,7.0,7.0,43.0,249.0,53.0,31.0,6.41,6.34,13.72,4.0,5.0,12.0,412.0,333.0,333.0,7.0,6.26,7.21,7.91,24.83,24.83,23.4
TOR,2025,TOR,TOR,Team Level,5on4,50,0.89,0.89,0.86,12395.0,202.06,23.44,18.9,45.78,6.93,115.7,59.25,22.01,23.44,22.01,199.0,71.0,96.0,366.0,20.0,27.0,3.0,38.0,0.0,92.0,93.0,179.0,250.0,5.0,10.0,120.0,12.0,14.0,36.0,171.0,71.0,28.0,4.77,8.32,10.35,2.0,10.0,8.0,366.0,270.0,270.0,2.0,4.92,4.37,4.37,24.0,24.0,23.06,32.16,2.9,1.63,4.99,0.99,10.23,22.27,2.78,2.9,2.78,34.0,9.0,4.0,47.0,4.0,2.0,0.0,2.0,0.0,6.0,29.0,30.0,39.0,1.0,2.0,102.0,16.0,19.0,26.0,33.0,7.0,3.0,1.08,0.82,0.99,2.0,2.0,0.0,47.0,43.0,43.0,19.0,0.37,0.75,0.75,2.52,2.52,2.5
