date,sport,mkt,won,odds,units,profit,pMkt,pHat,edgeVsMkt,agsV12,conviction,top2MinusMean,edge,clvTop2,isRank,isSharp,hcMargin,topUnopp,topVsTop,deltaQ,isMLB,isSOC,hcTier,agsTier
2026-06-01,MLB,ml,1,-155,3,2.08,0.6078,0.5254,-0.0824,0.9756,1.51,0.69,,63.69,0,0,2,1,0,2,1,0,UNTIERED,PREMIUM
2026-06-01,MLB,ml,1,135,1,1.35,0.4255,0.495,0.0695,0.9437,1.3175,0.6325,17.7124,63.33,0,0,2,1,0,1,1,0,UNTIERED,LOCK
2026-06-01,MLB,ml,1,160,2.5,2.73,0.3846,0.5814,0.1967,0.9736,1.05,0.345,8.8833,63.7,0,0,-1,1,0,1,1,0,UNTIERED,PREMIUM
2026-06-01,MLB,ml,0,-142,0.5,-0.5,0.5868,0.526,-0.0608,0.8995,1.43,0,11.2599,58.9,0,0,0,1,0,0,1,0,UNTIERED,LEAN
2026-06-01,MLB,total,0,-116,1,-1,0.537,0.6091,0.0721,0.9611,1.1933,0.2717,,71.38,0,0,0,1,0,2,1,0,UNTIERED,LOCK
2026-06-01,MLB,total,0,-110,5,-5,0.5238,0.5414,0.0176,0.9858,0.905,0,16.8704,62.51,0,0,0,1,0,0,1,0,UNTIERED,ELITE
2026-06-01,MLB,total,1,-110,3,2.73,0.5238,0.6398,0.116,0.9833,1.225,0.76,,73.62,0,0,1,1,0,4,1,0,UNTIERED,PREMIUM
2026-06-02,MLB,ml,0,-215,0.25,-0.25,0.6825,0.1887,-0.4939,0.1394,12.0233,5.1367,2.9604,68.89,0,0,0,1,0,-1,1,0,UNTIERED,WEAK
2026-06-02,MLB,ml,1,130,2.5,3.13,0.4348,0.5761,0.1413,0.9899,1.105,0,17.9267,59.45,0,0,0,1,0,1,1,0,UNTIERED,ELITE
2026-06-02,MLB,ml,1,100,0.5,0.49,0.5,0.5308,0.0308,0.9387,0.415,0,,62.79,0,0,0,1,0,0,1,0,UNTIERED,LEAN
2026-06-02,MLB,ml,0,-112,1,-1,0.5283,0.5655,0.0372,0.9684,0.45,0,,58.9,0,0,0,1,0,1,1,0,UNTIERED,LOCK
