i,date,sport,mkt,matchup,side,path,hcTier,agsTier,odds,units,outcome,profit,meanPct,top2Pct,meanClv,nHighPct,nElite,pctEdge,opposed,S1,S5,S8,S8b,S9,forWallets
1,2026-06-01,MLB,ml,2026-06-01_MLB_cws_min,Minnesota Twins,UNTIERED,,PREMIUM,-144,3,WIN,2.08,62.1,63.7,1.91,2,2,,N,KEEP,CUT,KEEP,KEEP,CUT,"4c64aa:59%,70135d:67%,a0d6d2:61%"
2,2026-06-01,MLB,ml,2026-06-01_MLB_det_tbr,Detroit Tigers,UNTIERED,,LOCK,135,1,WIN,1.35,61.4,63.3,2.98,2,4,-9.8,Y,KEEP,CUT,KEEP,KEEP,CUT,"8c1eae:60%,491f30:60%,4c64aa:59%,70135d:67%"
3,2026-06-01,MLB,ml,2026-06-01_MLB_kcr_cin,Kansas City Royals,UNTIERED,,PREMIUM,109,2.5,WIN,2.73,62.4,63.7,3.08,2,3,-6.5,Y,KEEP,CUT,KEEP,KEEP,CUT,"8c1eae:60%,491f30:60%,eeabaf:67%"
4,2026-06-01,MLB,ml,2026-06-01_MLB_mia_wsh,Washington Nationals,UNTIERED,,LEAN,-138,0.5,LOSS,-0.5,58.9,58.9,2.26,0,1,-1.6,Y,CUT,CUT,CUT,CUT,CUT,4c64aa:59%
5,2026-06-01,MLB,total,2026-06-01_MLB_kcr_cin_total,Under 9.5,UNTIERED,,LOCK,-116,1,LOSS,-1,69.8,71.4,4.41,3,3,,Y,KEEP,KEEP,KEEP,KEEP,KEEP,"7923c4:72%,70135d:67%,9a69c2:71%"
6,2026-06-01,MLB,total,2026-06-01_MLB_sfg_mil_total,Under 4.5,UNTIERED,,ELITE,-110,5,LOSS,-5,62.5,62.5,1.77,1,1,-6.1,Y,KEEP,CUT,CUT,KEEP,CUT,"eeabaf:67%,cd2f63:58%"
7,2026-06-01,MLB,total,2026-06-01_MLB_tex_stl_total,Under 5.5,UNTIERED,,PREMIUM,-110,3,WIN,2.73,68.1,73.6,2.84,3,3,,Y,KEEP,KEEP,KEEP,KEEP,KEEP,"b19a27:73%,eeabaf:67%,f9e3d0:74%,cd2f63:58%"
8,2026-06-02,MLB,ml,2026-06-02_MLB_cle_nyy,New York Yankees,UNTIERED,,WEAK,-219,0.25,LOSS,-0.25,65.6,68.9,4.48,2,3,-2.6,Y,KEEP,KEEP,KEEP,KEEP,CUT,"4c64aa:59%,70135d:67%,9a69c2:71%"
9,2026-06-02,MLB,ml,2026-06-02_MLB_det_tbr,Detroit Tigers,UNTIERED,,ELITE,125,2.5,WIN,3.13,59.5,59.5,6.55,1,2,-9.4,Y,CUT,CUT,KEEP,CUT,CUT,"913987:60%,4c64aa:59%"
10,2026-06-02,MLB,ml,2026-06-02_MLB_mia_wsh,Miami Marlins,UNTIERED,,LEAN,-102,0.5,WIN,0.49,62.8,62.8,2.65,1,2,,N,KEEP,CUT,KEEP,KEEP,CUT,"4c64aa:59%,70135d:67%"
11,2026-06-02,MLB,ml,2026-06-02_MLB_pit_hou,Houston Astros,UNTIERED,,LOCK,-112,1,LOSS,-1,58.9,58.9,2.26,0,1,,N,CUT,CUT,CUT,CUT,CUT,4c64aa:59%
12,2026-06-02,MLB,ml,2026-06-02_MLB_tex_stl,St. Louis Cardinals,UNTIERED,,LOCK,-106,1,LOSS,-1,58.9,58.9,2.26,0,1,,N,CUT,CUT,CUT,CUT,CUT,4c64aa:59%
13,2026-06-02,MLB,ml,2026-06-02_MLB_tor_atl,Toronto Blue Jays,UNTIERED,,ELITE,102,2.5,LOSS,-2.5,63.8,67,1.94,2,2,5,Y,KEEP,KEEP,KEEP,KEEP,KEEP,"bc3532:66%,eeabaf:68%,cd2f63:57%"
14,2026-06-02,MLB,total,2026-06-02_MLB_cle_nyy_total,Under 7.5,UNTIERED,,LOCK,-119,1,LOSS,-1,71.5,71.5,1.97,1,1,4.9,Y,KEEP,KEEP,CUT,KEEP,KEEP,7923c4:72%
15,2026-06-02,MLB,total,2026-06-02_MLB_nym_sea_total,Over 7.5,UNTIERED,,PREMIUM,-110,3,WIN,2.73,60,60,10.84,1,1,,N,KEEP,CUT,CUT,KEEP,CUT,913987:60%
16,2026-06-02,MLB,total,2026-06-02_MLB_oak_chc_total,Over 7.5,UNTIERED,,PREMIUM,-110,3,LOSS,-3,60,60,10.84,1,1,-18.1,Y,KEEP,CUT,CUT,KEEP,CUT,913987:60%
17,2026-06-02,NHL,total,2026-06-02_NHL_vgk_car_total,Over 5.5,UNTIERED,,ELITE,-115,5,WIN,4.35,65.3,65.3,4.4,1,1,,N,KEEP,KEEP,CUT,KEEP,KEEP,"4d2125:71%,dfa240:59%"
18,2026-06-03,MLB,ml,2026-06-03_MLB_bal_bos,Boston Red Sox,UNTIERED,,LEAN,-152,0.5,WIN,0.33,67.2,74,4.3,5,5,,N,KEEP,KEEP,KEEP,KEEP,KEEP,"a8c991:77%,4c64aa:61%,8c1eae:61%,70135d:67%,9a69c2:71%"
