i,date,sport,mkt,matchup,side,path,tier,odds,units,result,pnl,meanPct,top2Pct,meanClv,nHighPct,nElite,pctEdge,opposed,S1_meanPct60,S3_nHigh2,S5_top2_65,S7_A_only,S8_combo,S9_edge_top2,forWallets
1,2026-06-15,MLB,ML,2026-06-15_MLB_nym_cin,Cincinnati Reds,A,MINI,-136,3,W,2.21,64.6,68.5,3.41,2,2,,N,KEEP,KEEP,KEEP,KEEP,KEEP,KEEP,"1e8f33:57%,70135d:66%,9a69c2:71%"
2,2026-06-15,MLB,SPREAD,2026-06-15_MLB_col_chc_spread,Colorado Rockies,A,MINI,-105,3,W,2.86,56.7,56.7,-0.05,0,0,,N,CUT,CUT,CUT,CUT,CUT,CUT,1e8f33:57%
3,2026-06-16,MLB,ML,2026-06-16_MLB_det_hou,Houston Astros,A,TOP,-168,4,W,2.38,61.1,72.4,1.96,3,4,-5.6,Y,KEEP,KEEP,KEEP,KEEP,KEEP,CUT,"4c64aa:59%,1e8f33:56%,491f30:41%,5b1e50:74%,70135d:66%,9a69c2:71%"
4,2026-06-16,MLB,ML,2026-06-16_MLB_kcr_wsh,Washington Nationals,A,SUPER,-134,6,W,4.48,62.6,70,1.99,2,2,-5.3,Y,KEEP,KEEP,KEEP,KEEP,KEEP,CUT,"bc3532:67%,7923c4:73%,b839b3:48%"
5,2026-06-16,MLB,ML,2026-06-16_MLB_mia_phi,Philadelphia Phillies,A,TOP,-175,4,W,2.29,63.1,70.2,2.46,1,2,-4.7,Y,KEEP,CUT,KEEP,KEEP,KEEP,CUT,"4c64aa:59%,1e8f33:56%,ad88a3:82%,cd2f63:57%"
6,2026-06-16,MLB,ML,2026-06-16_MLB_sfg_atl,Atlanta Braves,A,TOP,-172,4,L,-4,53.8,56.8,1.29,0,1,-19.6,Y,CUT,CUT,CUT,CUT,CUT,CUT,"2f2a9e:55%,4c64aa:59%,b839b3:48%"
7,2026-06-16,MLB,TOTAL,2026-06-16_MLB_col_chc_total,Over 9.5,A,MINI,-110,3,L,-3,56.1,56.1,0.31,0,0,,N,CUT,CUT,CUT,CUT,CUT,CUT,"1e8f33:56%,cd2f63:57%"
8,2026-06-16,MLB,TOTAL,2026-06-16_MLB_nym_cin_total,Over 9.5,A,MINI,-110,3,L,-3,55.2,56.1,-1.3,0,0,-19.8,Y,CUT,CUT,CUT,CUT,CUT,CUT,"e05213:54%,1e8f33:56%,cd2f63:57%"
9,2026-06-17,MLB,ML,2026-06-17_MLB_mia_phi,Miami Marlins,A,MINI,100,2.5,W,2.5,53.8,53.8,0.57,0,0,,N,CUT,CUT,CUT,CUT,CUT,CUT,1e8f33:54%
10,2026-06-17,MLB,ML,2026-06-17_MLB_tor_bos,Boston Red Sox,A,MINI,-123,3,L,-3,53.8,53.8,0.57,0,0,-15,Y,CUT,CUT,CUT,CUT,CUT,CUT,1e8f33:54%
11,2026-06-17,MLB,TOTAL,2026-06-17_MLB_bal_sea_total,Over 7.5,A,MINI,-110,3,W,2.73,53.8,53.8,0.57,0,0,,N,CUT,CUT,CUT,CUT,CUT,CUT,1e8f33:54%
12,2026-06-17,MLB,TOTAL,2026-06-17_MLB_laa_ari_total,Under 9.5,A,MINI,-110,3,W,2.73,53.8,53.8,0.57,0,0,,N,CUT,CUT,CUT,CUT,CUT,CUT,1e8f33:54%
13,2026-06-17,MLB,TOTAL,2026-06-17_MLB_sdp_stl_total,Over 10.5,A,MINI,-110,3,L,-3,65.9,72.3,0.08,2,2,,N,KEEP,KEEP,KEEP,KEEP,KEEP,KEEP,"bc35e3:79%,e05213:53%,8ec926:65%"
14,2026-06-18,MLB,ML,2026-06-18_MLB_cle_mil,Milwaukee Brewers,A,TOP,-148,4,L,-4,67.1,67.1,3.87,1,1,-1.9,Y,KEEP,CUT,KEEP,KEEP,KEEP,CUT,"4c64aa:58%,ad88a3:76%"
15,2026-06-18,MLB,ML,2026-06-18_MLB_nym_phi,New York Mets,A,TOP,103,2.5,W,2.58,67.3,75.9,1.64,7,6,16.8,Y,KEEP,KEEP,KEEP,KEEP,KEEP,KEEP,"7703d4:65%,bc44b0:71%,2f2a9e:51%,bc35e3:79%,0f9d74:69%,eeabaf:68%,972768:73%,cd2f63:57%,5b1e50:73%"
16,2026-06-18,MLB,TOTAL,2026-06-18_MLB_nym_phi_total,Over 9.5,A,MINI,-110,3,W,2.73,54.7,54.7,0.39,0,0,-20.3,Y,CUT,CUT,CUT,CUT,CUT,CUT,"1e8f33:53%,cd2f63:57%"
17,2026-06-18,MLB,TOTAL,2026-06-18_MLB_tor_bos_total,Under 8.5,A,MINI,-108,3,W,2.78,62.4,72.9,1,2,1,-3.5,Y,KEEP,KEEP,KEEP,KEEP,KEEP,CUT,"1e8f33:53%,2f2a9e:51%,5b1e50:73%,972768:73%"
18,2026-06-19,MLB,ML,2026-06-19_MLB_min_ari,Arizona Diamondbacks,A,TOP,-168,4,W,2.38,62.5,67.2,2.65,1,1,1.7,Y,KEEP,CUT,KEEP,KEEP,KEEP,KEEP,"4c64aa:58%,1e8f33:53%,ad88a3:76%"
19,2026-06-19,MLB,SPREAD,2026-06-19_MLB_cin_nyy_spread,New York Yankees,A,TOP,-130,4,W,3.08,51.2,54.1,-0.53,0,0,-18.4,Y,CUT,CUT,CUT,CUT,CUT,CUT,"1e8f33:53%,f2d227:55%,b839b3:45%"
20,2026-06-19,MLB,SPREAD,2026-06-19_MLB_cws_det_spread,Chicago White Sox,A,MINI,-118,3,W,2.54,64.1,69.6,2.06,2,2,0.1,Y,KEEP,KEEP,KEEP,KEEP,KEEP,KEEP,"1e8f33:53%,5b1e50:73%,70135d:66%"
21,2026-06-19,MLB,TOTAL,2026-06-19_MLB_pit_col_total,Over 11.5,A,MINI,-110,3,L,-3,53.1,53.1,0.33,0,0,,N,CUT,CUT,CUT,CUT,CUT,CUT,1e8f33:53%
22,2026-06-19,MLB,TOTAL,2026-06-19_MLB_tor_chc_total,Under 7.5,A,MINI,-110,3,L,-3,60.5,64.2,0.83,1,1,-14.4,Y,KEEP,CUT,CUT,KEEP,KEEP,CUT,"bc44b0:72%,1e8f33:53%,cd2f63:57%"
23,2026-06-20,MLB,ML,2026-06-20_MLB_cin_nyy,New York Yankees,A,TOP,-201,4,L,-4,38.5,38.5,-0.62,0,0,-28.6,Y,CUT,CUT,CUT,CUT,CUT,CUT,"ab39ae:33%,b839b3:44%"
24,2026-06-20,MLB,ML,2026-06-20_MLB_nym_phi,Philadelphia Phillies,A,TOP,-198,4,W,2.02,56.5,63,1.45,1,1,-1.8,Y,CUT,CUT,CUT,CUT,CUT,CUT,"eeabaf:68%,4c64aa:58%,b839b3:44%"
25,2026-06-20,MLB,ML,2026-06-20_MLB_sfg_mia,Miami Marlins,A,MINI,-137,3,W,2.19,52.4,52.4,0,0,0,,N,CUT,CUT,CUT,CUT,CUT,CUT,1e8f33:52%
26,2026-06-20,MLB,TOTAL,2026-06-20_MLB_mil_atl_total,Under 7.5,B,RANK,-110,2,W,1.82,60.3,60.3,2.79,1,1,-3.9,Y,KEEP,CUT,CUT,KEEP,CUT,CUT,"2f2a9e:53%,eeabaf:68%"
27,2026-06-21,MLB,ML,2026-06-21_MLB_bal_lad,Los Angeles Dodgers,A,MINI,-225,3,L,-3,62,62,1.88,1,1,-9.7,Y,KEEP,CUT,CUT,KEEP,KEEP,CUT,"4c64aa:58%,70135d:65%"
28,2026-06-21,MLB,ML,2026-06-21_MLB_nym_phi,Philadelphia Phillies,A,MINI,-186,3,W,1.61,69.8,80.8,6.39,3,3,-1.3,Y,KEEP,KEEP,KEEP,KEEP,KEEP,CUT,"1e8f33:52%,5b1e50:73%,70135d:65%,b70f9a:89%"
29,2026-06-21,MLB,TOTAL,2026-06-21_MLB_bos_sea_total,Under 6.5,A,TOP,101,2.5,W,2.53,70.6,74.5,3.9,4,4,11,Y,KEEP,KEEP,KEEP,KEEP,KEEP,KEEP,"779ef0:65%,eeabaf:68%,7923c4:73%,cdb33b:76%"
30,2026-06-21,MLB,TOTAL,2026-06-21_MLB_cws_det_total,Under 8.5,A,MINI,-105,3,L,-3,58.8,58.8,0.44,1,1,0.1,Y,CUT,CUT,CUT,CUT,CUT,CUT,"1e8f33:52%,8ec926:65%"
