date,sport,mkt,matchup,side,agsTier,units,staked,outcome,top2Pct,meanPct,nFor,forWallets
2026-06-01,MLB,ML,"Chicago White Sox @ Minnesota Twins",home,PREMIUM,3,1,WIN,72.4,65.45,6,"bc35e3:78%,7703d4:67%"
2026-06-01,MLB,ML,"Detroit Tigers @ Tampa Bay Rays",away,LOCK,1,1,WIN,66.11,64.03,3,"10c684:72%,491f30:60%"
2026-06-01,MLB,ML,"Kansas City Royals @ Cincinnati Reds",away,PREMIUM,2.5,1,WIN,74.06,65.39,7,"cdb33b:78%,0f9d74:70%"
2026-06-01,MLB,ML,"Miami Marlins @ Washington Nationals",home,LEAN,0.5,1,LOSS,59.64,59.64,2,"c2aeea:62%,cd2f63:58%"
2026-06-02,MLB,ML,"Cleveland Guardians @ New York Yankees",home,WEAK,0.25,1,LOSS,74.44,60.24,7,"bc35e3:78%,0f9d74:71%"
2026-06-02,MLB,ML,"Detroit Tigers @ Tampa Bay Rays",away,ELITE,2.5,1,WIN,71.61,64.68,6,"10c684:72%,e05213:71%"
2026-06-02,MLB,ML,"Miami Marlins @ Washington Nationals",away,LEAN,0.5,1,WIN,62.31,59.49,3,"bc3532:66%,4c64aa:59%"
2026-06-02,MLB,ML,"Pittsburgh Pirates @ Houston Astros",home,LOCK,1,1,LOSS,58.9,58.9,1,"4c64aa:59%"
2026-06-02,MLB,ML,"Texas Rangers @ St. Louis Cardinals",home,LOCK,1,1,LOSS,58.9,58.9,1,"4c64aa:59%"
2026-06-02,MLB,ML,"Toronto Blue Jays @ Atlanta Braves",away,ELITE,2.5,1,LOSS,67.03,63.27,4,"eeabaf:68%,bc3532:66%"
2026-06-03,MLB,ML,"Baltimore Orioles @ Boston Red Sox",home,LEAN,0.5,1,WIN,77.39,67.3,8,"bc35e3:78%,a8c991:77%"
2026-06-03,MLB,ML,"Cleveland Guardians @ New York Yankees",away,LOCK,1,1,WIN,74.16,64.58,8,"913987:75%,b19a27:73%"
2026-06-03,MLB,ML,"Detroit Tigers @ Tampa Bay Rays",away,LOCK,1,1,WIN,75,69.91,5,"913987:75%,e05213:75%"
2026-06-03,MLB,ML,"Los Angeles Dodgers @ Arizona Diamondbacks",home,PREMIUM,1.5,1,LOSS,68.14,63.59,4,"0f9d74:70%,bc3532:66%"
2026-06-03,MLB,ML,"Miami Marlins @ Washington Nationals",home,LEAN,0.5,1,LOSS,66.46,61.28,6,"10c684:68%,8ec926:65%"
2026-06-03,MLB,ML,"Athletics @ Chicago Cubs",away,LEAN,0.5,1,WIN,59.05,56.91,3,"4c64aa:61%,cd2f63:58%"
2026-06-03,MLB,ML,"Pittsburgh Pirates @ Houston Astros",away,PREMIUM,3,1,LOSS,68.14,65.6,3,"0f9d74:70%,bc3532:66%"
2026-06-03,MLB,ML,"San Diego Padres @ Philadelphia Phillies",home,ELITE,5,1,WIN,76.66,67.46,8,"ad88a3:80%,b19a27:73%"
2026-06-03,MLB,ML,"Texas Rangers @ St. Louis Cardinals",home,PREMIUM,3,1,WIN,60.53,60.53,1,"4c64aa:61%"
2026-06-03,MLB,ML,"Toronto Blue Jays @ Atlanta Braves",home,LEAN,0.5,1,WIN,68.58,61.34,5,"913987:75%,1e8f33:62%"
2026-06-03,NBA,ML,"Knicks @ Spurs",home,WEAK,0.25,1,LOSS,73.96,65.19,12,"2d2ca8:75%,b19a27:73%"
2026-06-04,MLB,ML,"Baltimore Orioles @ Boston Red Sox",away,LEAN,0.5,1,WIN,64.1,64.1,2,"bc3532:66%,4c64aa:62%"
2026-06-04,MLB,ML,"Kansas City Royals @ Minnesota Twins",home,LOCK,1,1,LOSS,61.59,58.35,4,"4c64aa:62%,c2aeea:61%"
2026-06-04,MLB,ML,"Los Angeles Dodgers @ Arizona Diamondbacks",home,ELITE,2.5,1,WIN,70.97,66.75,5,"913987:72%,0f9d74:70%"
2026-06-04,MLB,ML,"Athletics @ Chicago Cubs",home,ELITE,5,1,WIN,70.97,65.33,5,"913987:72%,0f9d74:70%"
2026-06-04,MLB,ML,"Pittsburgh Pirates @ Houston Astros",away,WEAK,0.25,1,WIN,67.86,59.95,5,"0f9d74:70%,bc3532:66%"
