date,sport,mkt,matchup,side,agsTier,units,staked,tracked,outcome,top2Pct,nFor
2026-06-01,MLB,ML,"Chicago White Sox @ Minnesota Twins",home,PREMIUM,3,1,0,WIN,72.4,6
2026-06-01,MLB,ML,"Detroit Tigers @ Tampa Bay Rays",away,LOCK,1,1,0,WIN,66.11,3
2026-06-01,MLB,ML,"Kansas City Royals @ Cincinnati Reds",away,PREMIUM,2.5,1,0,WIN,74.06,7
2026-06-01,MLB,ML,"Los Angeles Dodgers @ Arizona Diamondbacks",home,FADE,0,0,1,WIN,57.61,1
2026-06-01,MLB,ML,"Miami Marlins @ Washington Nationals",home,LEAN,0.5,1,0,LOSS,59.64,2
2026-06-01,MLB,ML,"New York Mets @ Seattle Mariners",home,FADE,0,0,1,WIN,80.87,3
2026-06-01,MLB,ML,"San Francisco Giants @ Milwaukee Brewers",away,FADE,0,0,1,LOSS,73.98,9
2026-06-02,MLB,ML,"Cleveland Guardians @ New York Yankees",home,WEAK,0.25,1,0,LOSS,74.44,7
2026-06-02,MLB,ML,"Colorado Rockies @ Los Angeles Angels",away,FADE,0,0,1,WIN,76.32,6
2026-06-02,MLB,ML,"Chicago White Sox @ Minnesota Twins",home,FADE,0,0,1,WIN,68.57,3
2026-06-02,MLB,ML,"Detroit Tigers @ Tampa Bay Rays",away,ELITE,2.5,1,0,WIN,71.61,6
2026-06-02,MLB,ML,"Kansas City Royals @ Cincinnati Reds",home,FADE,0,0,1,WIN,74.59,8
2026-06-02,MLB,ML,"Miami Marlins @ Washington Nationals",away,LEAN,0.5,1,0,WIN,62.31,3
2026-06-02,MLB,ML,"Pittsburgh Pirates @ Houston Astros",home,LOCK,1,1,0,LOSS,58.9,1
2026-06-02,MLB,ML,"San Diego Padres @ Philadelphia Phillies",away,FADE,0,0,1,LOSS,78.79,9
2026-06-02,MLB,ML,"San Francisco Giants @ Milwaukee Brewers",away,FADE,0,0,1,LOSS,75.21,6
2026-06-02,MLB,ML,"Texas Rangers @ St. Louis Cardinals",home,LOCK,1,1,0,LOSS,58.9,1
2026-06-02,MLB,ML,"Toronto Blue Jays @ Atlanta Braves",away,ELITE,2.5,1,0,LOSS,67.03,4
2026-06-02,NHL,ML,"Golden Knights @ Hurricanes",home,FADE,0,0,1,LOSS,75.48,8
2026-06-03,MLB,ML,"Baltimore Orioles @ Boston Red Sox",home,LEAN,0.5,1,0,WIN,77.39,8
2026-06-03,MLB,ML,"Cleveland Guardians @ New York Yankees",away,LOCK,1,1,0,WIN,74.16,8
2026-06-03,MLB,ML,"Chicago White Sox @ Minnesota Twins",home,FADE,0,0,1,LOSS,72.69,5
2026-06-03,MLB,ML,"Detroit Tigers @ Tampa Bay Rays",away,LOCK,1,1,0,WIN,75,5
2026-06-03,MLB,ML,"Los Angeles Dodgers @ Arizona Diamondbacks",home,PREMIUM,1.5,1,0,LOSS,68.14,4
2026-06-03,MLB,ML,"Miami Marlins @ Washington Nationals",home,LEAN,0.5,1,0,LOSS,66.46,6
2026-06-03,MLB,ML,"Athletics @ Chicago Cubs",away,LEAN,0.5,1,0,WIN,59.05,3
2026-06-03,MLB,ML,"Pittsburgh Pirates @ Houston Astros",away,PREMIUM,3,1,0,LOSS,68.14,3
2026-06-03,MLB,ML,"San Diego Padres @ Philadelphia Phillies",home,ELITE,5,1,0,WIN,76.66,8
2026-06-03,MLB,ML,"San Francisco Giants @ Milwaukee Brewers",home,FADE,0,0,1,LOSS,60.83,3
2026-06-03,MLB,ML,"Texas Rangers @ St. Louis Cardinals",home,PREMIUM,3,1,0,WIN,60.53,1
2026-06-03,MLB,ML,"Toronto Blue Jays @ Atlanta Braves",home,LEAN,0.5,1,0,WIN,68.58,5
2026-06-03,NBA,ML,"Knicks @ Spurs",home,WEAK,0.25,1,0,LOSS,73.96,12
2026-06-04,MLB,ML,"Baltimore Orioles @ Boston Red Sox",away,LEAN,0.5,1,0,WIN,64.1,2
2026-06-04,MLB,ML,"Kansas City Royals @ Minnesota Twins",home,LOCK,1,1,0,LOSS,61.59,4
2026-06-04,MLB,ML,"Los Angeles Dodgers @ Arizona Diamondbacks",home,ELITE,2.5,1,0,WIN,70.97,5
2026-06-04,MLB,ML,"Athletics @ Chicago Cubs",home,ELITE,5,1,0,WIN,70.97,5
2026-06-04,MLB,ML,"Pittsburgh Pirates @ Houston Astros",away,WEAK,0.25,1,0,WIN,67.86,5
2026-06-04,MLB,ML,"San Diego Padres @ Philadelphia Phillies",home,LOCK,1,1,0,WIN,69.76,7
2026-06-04,MLB,ML,"San Francisco Giants @ Milwaukee Brewers",home,LOCK,1,1,0,LOSS,66.81,4
2026-06-04,MLB,ML,"Toronto Blue Jays @ Atlanta Braves",home,LEAN,0.5,1,0,LOSS,72.53,11
2026-06-04,NHL,ML,"Golden Knights @ Hurricanes",home,WEAK,0.25,1,0,WIN,74.33,8
2026-06-05,MLB,ML,"Baltimore Orioles @ Toronto Blue Jays",home,WEAK,0.25,1,0,LOSS,67.47,5
2026-06-05,MLB,ML,"Boston Red Sox @ New York Yankees",away,LEAN,0.5,1,0,WIN,69.75,7
2026-06-05,MLB,ML,"Cincinnati Reds @ St. Louis Cardinals",home,LEAN,0.5,1,0,WIN,62.85,5
2026-06-05,MLB,ML,"Cleveland Guardians @ Texas Rangers",away,ELITE,5,1,0,LOSS,64.38,2
2026-06-05,MLB,ML,"Chicago White Sox @ Philadelphia Phillies",home,ELITE,5,1,0,WIN,71.09,5
2026-06-05,MLB,ML,"Los Angeles Angels @ Los Angeles Dodgers",home,LOCK,1,1,0,WIN,62.85,2
2026-06-05,MLB,ML,"Athletics @ Houston Astros",away,LOCK,1,1,0,LOSS,62.07,1
2026-06-05,MLB,ML,"Pittsburgh Pirates @ Atlanta Braves",home,LOCK,1,1,0,WIN,70.93,8
2026-06-05,MLB,ML,"San Francisco Giants @ Chicago Cubs",home,LOCK,1,1,0,LOSS,72.4,6
2026-06-05,MLB,ML,"Tampa Bay Rays @ Miami Marlins",away,PREMIUM,3,1,0,WIN,69.75,3
2026-06-05,NBA,ML,"Knicks @ Spurs",home,WEAK,0.25,1,0,LOSS,83.06,14
2026-06-06,MLB,ML,"Boston Red Sox @ New York Yankees",home,FADE,0,0,1,LOSS,68.42,5
2026-06-06,MLB,ML,"Cincinnati Reds @ St. Louis Cardinals",home,PREMIUM,3,1,0,WIN,60.66,5
2026-06-06,MLB,ML,"Cleveland Guardians @ Texas Rangers",home,FADE,0,0,1,LOSS,73.82,9
2026-06-06,MLB,ML,"Chicago White Sox @ Philadelphia Phillies",home,LEAN,0.5,1,0,LOSS,71.44,5
2026-06-06,MLB,ML,"Kansas City Royals @ Minnesota Twins",home,FADE,0,0,1,LOSS,60.11,3
2026-06-06,MLB,ML,"Los Angeles Angels @ Los Angeles Dodgers",home,PREMIUM,3,1,0,WIN,60.66,3
2026-06-06,MLB,ML,"New York Mets @ San Diego Padres",away,FADE,0,0,1,LOSS,64.07,2
2026-06-06,MLB,ML,"Athletics @ Houston Astros",home,ELITE,5,1,0,WIN,64.28,2
2026-06-06,MLB,ML,"Pittsburgh Pirates @ Atlanta Braves",home,FADE,0,0,1,WIN,68.78,8
2026-06-06,MLB,ML,"Seattle Mariners @ Detroit Tigers",home,ELITE,2.5,1,0,LOSS,69.33,5
2026-06-06,MLB,ML,"San Francisco Giants @ Chicago Cubs",home,FADE,0,0,1,WIN,74.78,7
