Post id,Date,Post text,Post Link,Impressions,Likes,Engagements,Bookmarks,Shares,New follows,Replies,Reposts,Profile visits,Detail Expands,URL Clicks,Hashtag Clicks,Permalink Clicks
2099299274198536386,"Mon, Sep 14, 2026",@the_casino_man That’s the way I felt looking at tigers -1.5,https://x.com/Real_NHL_Savant/status/2099299274198536386,27,0,0,0,0,0,0,0,0,0,0,0,0
2099297899045662761,"Mon, Sep 14, 2026",@ShayAvants Honestly thought I was tricked two nights in a row,https://x.com/Real_NHL_Savant/status/2099297899045662761,24,1,1,0,0,0,0,0,0,0,0,0,0
2099297710171967675,"Mon, Sep 14, 2026",@the_casino_man Oh shit. You’re better than me. I did do that when it was 6-2,https://x.com/Real_NHL_Savant/status/2099297710171967675,37,0,1,0,0,0,1,0,0,0,0,0,0
2099291645518680499,"Mon, Sep 14, 2026","$20,000 AT 4× JUST SAT DOWN NEXT TO DON Nobody throws money around quite like Don. Tonight he's in good company. Cowboys @ Giants. We're Dallas ML. -168. 3u. A proven NFL wallet has $20,000 on this at 4×. Five more proven with him. Two proven took the Giants. He's on the https://t.co/KMWFCjfjWr",https://x.com/Real_NHL_Savant/status/2099291645518680499,2624,10,141,0,0,1,0,0,14,27,0,0,0
2099287617799962643,"Mon, Sep 14, 2026",@Jeremy_Noel_V2 Oh ya. I like the way NFL looked today. 2-1 so far.,https://x.com/Real_NHL_Savant/status/2099287617799962643,74,2,2,0,0,0,0,0,0,0,0,0,0
2099281627511759033,"Sun, Sep 13, 2026",@ShayAvants That was huge unit swing. Not often we have that much tied up in one game.,https://x.com/Real_NHL_Savant/status/2099281627511759033,61,1,3,0,0,0,1,0,0,1,0,0,0
2099281469445197882,"Sun, Sep 13, 2026",@NCEVBets Ending for the ages!,https://x.com/Real_NHL_Savant/status/2099281469445197882,41,0,0,0,0,0,0,0,0,0,0,0,0
2099281288360267999,"Sun, Sep 13, 2026",@matt28644 Gosh. Insane when it happens that way.,https://x.com/Real_NHL_Savant/status/2099281288360267999,55,2,3,0,0,0,0,0,1,0,0,0,0
2099281215798874580,"Sun, Sep 13, 2026",@lavinemurray15 Two home runs? And a walk off. Needed that!,https://x.com/Real_NHL_Savant/status/2099281215798874580,48,0,1,0,0,0,0,0,1,0,0,0,0
2099281141152817583,"Sun, Sep 13, 2026",@IsaiahWballer Madness,https://x.com/Real_NHL_Savant/status/2099281141152817583,41,0,1,0,0,0,0,0,0,1,0,0,0
2099280564947730486,"Sun, Sep 13, 2026",Sharps we’re going back to the well again today after that nasty loss yesterday. Iykyk MLB 🔥 https://t.co/eE6mhbEJJD,https://x.com/Real_NHL_Savant/status/2099280564947730486,1149,16,70,0,0,0,7,0,27,19,0,0,0
2099240297066545527,"Sun, Sep 13, 2026",@PoppaVic_ A good one again!,https://x.com/Real_NHL_Savant/status/2099240297066545527,123,1,12,0,0,0,0,1,6,4,0,0,0
